Package,License,maintainer,DOI,authorItem,Descr_lang,Descr
alevinQC,MIT,Charlotte Soneson,10.18129/B9.BIOC.ALEVINQC,Q43290839,en,researcher
AlphaBeta,GPL-3,Yadollah Shahryary Dizaji,10.18129/B9.BIOC.ALPHABETA,,,
altcdfenvs,GPL (>= 2),Laurent Gautier,10.18129/B9.BIOC.ALTCDFENVS,Q21513832,en,botanist
AMARETTO,Apache License 2.0,Olivier Gevaert,10.18129/B9.BIOC.AMARETTO,Q56334002,en,researcher
AMOUNTAIN,GPL (>= 2),Dong Li,10.18129/B9.BIOC.AMOUNTAIN,Q50148351,en,researcher (ORCID 0000-0002-2508-3282)
Anaquin,BSD_3_clause,Ted Wong,10.18129/B9.BIOC.ANAQUIN,,,
ANCOMBC,Artistic-2.0,Huang Lin,10.18129/B9.BIOC.ANCOMBC,,,
ANF,GPL-3,Tianle Ma,10.18129/B9.BIOC.ANF,,,
annaffy,LGPL (>= 2.1),Colin A. Smith,10.18129/B9.BIOC.ANNAFFY,,,
annmap,GPL-2,Chris Wirth,10.18129/B9.BIOC.ANNMAP,Q88391169,en,researcher
annotate,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.ANNOTATE,,,
AnnotationDbi,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.ANNOTATIONDBI,,,
AnnotationFilter,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.ANNOTATIONFILTER,,,
AnnotationForge,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.ANNOTATIONFORGE,,,
AnnotationHub,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.ANNOTATIONHUB,,,
AnnotationHubData,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.ANNOTATIONHUBDATA,,,
annotationTools,GPL,Alexandre Kuhn,10.18129/B9.BIOC.ANNOTATIONTOOLS,Q90907542,en,researcher (ORCID 0000-0001-5539-9002)
annotatr,GPL-3,Raymond G. Cavalcante,10.18129/B9.BIOC.ANNOTATR,,,
anota,GPL-3,Ola Larsson,10.18129/B9.BIOC.ANOTA,Q42738485,en,researcher
antiProfiles,Artistic-2.0,Hector Corrada Bravo,10.18129/B9.BIOC.ANTIPROFILES,Q35703653,en,researcher
AnVIL,Artistic-2.0,Martin Morgan,10.18129/B9.BIOC.ANVIL,Q60662565,en,researcher ORCID ID = 0000-0002-5874-8148
AnVILBilling,Artistic-2.0,Vince Carey,10.18129/B9.BIOC.ANVILBILLING,,,
AnVILPublish,Artistic-2.0,Martin Morgan,10.18129/B9.BIOC.ANVILPUBLISH,Q60662565,en,researcher ORCID ID = 0000-0002-5874-8148
apComplex,LGPL (>= 2.1),Denise Scholtens,10.18129/B9.BIOC.APCOMPLEX,Q96581058,en,researcher
APL,GPL (>= 3),Elzbieta Gralinska,10.18129/B9.BIOC.APL,,,
appreci8R,LGPL (>= 2.1),Sarah Sandmann,10.18129/B9.BIOC.APPRECI8R,Q87882953,en,researcher
ArrayExpressHTS,Artistic License 2.0,Angela Goncalves,10.18129/B9.BIOC.ARRAYEXPRESSHTS,Q57059479,en,researcher
arrayMvout,Artistic-2.0,V. Carey,10.18129/B9.BIOC.ARRAYMVOUT,,,
arrayQuality,LGPL (>= 2.1),Agnes Paquet,10.18129/B9.BIOC.ARRAYQUALITY,,,
arrayQualityMetrics,LGPL (>= 2.1),Mike Smith,10.18129/B9.BIOC.ARRAYQUALITYMETRICS,,,
ARRmNormalization,Artistic-2.0,Jean-Philippe Fortin,10.18129/B9.BIOC.ARRMNORMALIZATION,,,
artMS,GPL (>= 3),David Jimenez-Morales,10.18129/B9.BIOC.ARTMS,Q56153116,en,researcher
ASAFE,Artistic-2.0,Qian Zhang,10.18129/B9.BIOC.ASAFE,Q55692659,en,researcher ORCID: 0000-0002-9040-3289
ASEB,GPL (>= 3),Likun Wang,10.18129/B9.BIOC.ASEB,Q55188166,en,researcher (ORCID 0000-0002-0933-2808)
ASGSCA,GPL-3,Hela Romdhani,10.18129/B9.BIOC.ASGSCA,,,
ASpediaFI,GPL-3,Doyeong Yu,10.18129/B9.BIOC.ASPEDIAFI,,,
ASpli,GPL,Estefania Mancini,10.18129/B9.BIOC.ASPLI,Q88231423,en,researcher
ASSET,GPL-2,Samsiddhi Bhattacharjee,10.18129/B9.BIOC.ASSET,Q54877894,en,researcher
ASSIGN,MIT,Ying Shen,10.18129/B9.BIOC.ASSIGN,Q90391118,en,researcher (ORCID 0000-0001-7034-5328)
ASURAT,GPL-3,Keita Iida,10.18129/B9.BIOC.ASURAT,Q96207195,en,researcher
atena,Artistic-2.0,Beatriz Calvo-Serra,10.18129/B9.BIOC.ATENA,,,
attract,LGPL (>= 2.1),Samuel Zimmerman,10.18129/B9.BIOC.ATTRACT,,,
autonomics,GPL-3,Aditya Bhagwat,10.18129/B9.BIOC.AUTONOMICS,Q99247327,en,researcher
AWFisher,GPL-3,Zhiguang Huo,10.18129/B9.BIOC.AWFISHER,Q60654964,en,researcher ORCID ID = 0000-0002-8032-4392
awst,MIT,Davide Risso,10.18129/B9.BIOC.AWST,Q55979537,en,researcher (ORCID 0000-0001-8508-5012)
BaalChIP,Artistic-2.0,Ines de Santiago,10.18129/B9.BIOC.BAALCHIP,Q55754913,en,researcher
BAC,Artistic-2.0,Raphael Gottardo,10.18129/B9.BIOC.BAC,Q88268514,en,researcher
bacon,GPL (>= 2),Maarten van Iterson,10.18129/B9.BIOC.BACON,Q96198616,en,researcher
BADER,GPL-2,Andreas Neudecker,10.18129/B9.BIOC.BADER,,,
BadRegionFinder,LGPL (>= 2.1),Sarah Sandmann,10.18129/B9.BIOC.BADREGIONFINDER,Q87882953,en,researcher
BAGS,Artistic-2.0,Alejandro Quiroz-Zarate,10.18129/B9.BIOC.BAGS,,,
ballgown,Artistic-2.0,Jack Fu,10.18129/B9.BIOC.BALLGOWN,Q59157536,en,researcher ORCID ID = 0000-0002-9397-0668
bambu,GPL-3,Ying Chen,10.18129/B9.BIOC.BAMBU,Q38320549,en,researcher (ORCID 0000-0002-7322-2224)
bamsignals,GPL-2,Johannes Helmuth,10.18129/B9.BIOC.BAMSIGNALS,Q88140556,en,researcher
bandle,Artistic-2.0,Oliver M. Crook,10.18129/B9.BIOC.BANDLE,,,
banocc,MIT,George Weingart,10.18129/B9.BIOC.BANOCC,,,
basecallQC,GPL (>= 3),Thomas Carroll,10.18129/B9.BIOC.BASECALLQC,Q73146220,en,researcher
BaseSpaceR,Apache License 2.0,Jared O'Connell,10.18129/B9.BIOC.BASESPACER,Q90159812,en,researcher
Basic4Cseq,LGPL (>= 2.1),Carolin Walter,10.18129/B9.BIOC.BASIC4CSEQ,Q29966678,,
BASiCS,GPL (>= 2),Alan O'Callaghan,10.18129/B9.BIOC.BASICS,Q104475246,en,researcher
BasicSTARRseq,LGPL (>= 2.1),Annika Buerger,10.18129/B9.BIOC.BASICSTARRSEQ,,,
basilisk,GPL-3,Aaron Lun,10.18129/B9.BIOC.BASILISK,,,
basilisk.utils,GPL-3,Aaron Lun,10.18129/B9.BIOC.BASILISK.UTILS,Q61727711,en,researcher ORCID ID = 0000-0002-3564-4813
BayesKnockdown,GPL-3,William Chad Young,10.18129/B9.BIOC.BAYESKNOCKDOWN,Q90555309,en,researcher (ORCID 0000-0002-3368-052X)
BayesSpace,MIT,Matt Stone,10.18129/B9.BIOC.BAYESSPACE,,,
bayNorm,GPL (>= 2),Wenhao Tang,10.18129/B9.BIOC.BAYNORM,,,
baySeq,GPL-3,Thomas J. Hardcastle,10.18129/B9.BIOC.BAYSEQ,,,
BBCAnalyzer,LGPL (>= 2.1),Sarah Sandmann,10.18129/B9.BIOC.BBCANALYZER,Q87882953,en,researcher
BCRANK,GPL-2,Adam Ameur,10.18129/B9.BIOC.BCRANK,Q37373461,en,researcher
BDMMAcorrect,GPL (>= 2),ZHENWEI DAI,10.18129/B9.BIOC.BDMMACORRECT,,,
beadarray,MIT,Mark Dunning,10.18129/B9.BIOC.BEADARRAY,Q41044344,en,researcher
beadarraySNP,GPL-2,Jan Oosting,10.18129/B9.BIOC.BEADARRAYSNP,Q90115240,en,researcher
BeadDataPackR,GPL-2,Mike Smith,10.18129/B9.BIOC.BEADDATAPACKR,,,
BEARscc,GPL-3,Benjamin Schuster-Boeckler,10.18129/B9.BIOC.BEARSCC,,,
BEAT,LGPL (>= 2.1),Kemal Akman,10.18129/B9.BIOC.BEAT,Q102441015,en,Dr. rer. nat. Ludwig-Maximilians-Universität München 2014
beer,MIT,Athena Chen,10.18129/B9.BIOC.BEER,,,
benchdamic,Artistic-2.0,Matteo Calgaro,10.18129/B9.BIOC.BENCHDAMIC,Q91169524,en,researcher (ORCID 0000-0002-3056-518X)
BgeeCall,GPL-3,Julien Wollbrett,10.18129/B9.BIOC.BGEECALL,,,
BGmix,GPL-2,Alex Lewin,10.18129/B9.BIOC.BGMIX,Q55274517,en,researcher
bgx,GPL-2,Ernest Turro,10.18129/B9.BIOC.BGX,Q56596752,en,researcher
BHC,GPL-3,Rich Savage,10.18129/B9.BIOC.BHC,,,
BicARE,GPL-2,Pierre Gestraud,10.18129/B9.BIOC.BICARE,Q57204531,en,researcher
BiFET,GPL-3,Ahrim Youn,10.18129/B9.BIOC.BIFET,,,
bigPint,GPL-3,Lindsay Rutter,10.18129/B9.BIOC.BIGPINT,Q65945324,en,American bioinformatician
Biobase,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.BIOBASE,,,
biobroom,LGPL (>= 2.1),John D. Storey,10.18129/B9.BIOC.BIOBROOM,Q55121965,en,genomics statistician
biobtreeR,MIT,Tamer Gur,10.18129/B9.BIOC.BIOBTREER,Q56598323,en,researcher
bioCancer,AGPL-3,Karim Mezhoud,10.18129/B9.BIOC.BIOCANCER,,,
BiocCheck,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.BIOCCHECK,,,
BiocDockerManager,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.BIOCDOCKERMANAGER,,,
BiocFileCache,Artistic-2.0,Lori Shepherd,10.18129/B9.BIOC.BIOCFILECACHE,Q58147814,en,"researcher, ORCID id # 0000-0002-5910-4010"
BiocGenerics,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.BIOCGENERICS,,,
biocGraph,Artistic-2.0,Florian Hahne,10.18129/B9.BIOC.BIOCGRAPH,Q95841593,,
BiocIO,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.BIOCIO,,,
BiocNeighbors,GPL-3,Aaron Lun,10.18129/B9.BIOC.BIOCNEIGHBORS,Q61727711,en,researcher ORCID ID = 0000-0002-3564-4813
BiocOncoTK,Artistic-2.0,VJ Carey,10.18129/B9.BIOC.BIOCONCOTK,,,
BioCor,MIT,Lluís Revilla Sancho,10.18129/B9.BIOC.BIOCOR,,,
BiocParallel,GPL-2,Martin Morgan,10.18129/B9.BIOC.BIOCPARALLEL,Q60662565,en,researcher ORCID ID = 0000-0002-5874-8148
BiocPkgTools,MIT,Sean Davis,10.18129/B9.BIOC.BIOCPKGTOOLS,Q37390205,en,bioinformatician
BiocSet,Artistic-2.0,Kayla Morrell,10.18129/B9.BIOC.BIOCSET,,,
BiocSingular,GPL-3,Aaron Lun,10.18129/B9.BIOC.BIOCSINGULAR,Q61727711,en,researcher ORCID ID = 0000-0002-3564-4813
BiocSklearn,Artistic-2.0,Vince Carey,10.18129/B9.BIOC.BIOCSKLEARN,,,
BiocStyle,Artistic-2.0,Bioconductor Package,10.18129/B9.BIOC.BIOCSTYLE,Q112607797,en,software project hosted on the Bioconductor website
biocthis,Artistic-2.0,Leonardo Collado-Torres,10.18129/B9.BIOC.BIOCTHIS,Q56433434,en,researcher
BiocVersion,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.BIOCVERSION,,,
biocViews,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.BIOCVIEWS,,,
biodb,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODB,Q61663151,en,researcher ORCID ID = 0000-0001-8177-4873
biodbChebi,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODBCHEBI,Q61663151,en,researcher ORCID ID = 0000-0001-8177-4873
biodbExpasy,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODBEXPASY,Q61663151,en,researcher ORCID ID = 0000-0001-8177-4873
biodbHmdb,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODBHMDB,Q61663151,en,researcher ORCID ID = 0000-0001-8177-4873
biodbKegg,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODBKEGG,Q61663151,en,researcher ORCID ID = 0000-0001-8177-4873
biodbLipidmaps,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODBLIPIDMAPS,Q61663151,en,researcher ORCID ID = 0000-0001-8177-4873
biodbMirbase,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODBMIRBASE,Q61663151,en,researcher ORCID ID = 0000-0001-8177-4873
biodbNcbi,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODBNCBI,Q61663151,en,researcher ORCID ID = 0000-0001-8177-4873
biodbNci,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODBNCI,Q61663151,en,researcher ORCID ID = 0000-0001-8177-4873
biodbUniprot,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODBUNIPROT,Q61663151,en,researcher ORCID ID = 0000-0001-8177-4873
bioDist,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.BIODIST,,,
biomformat,GPL-2,Paul J. McMurdie,10.18129/B9.BIOC.BIOMFORMAT,Q55121955,en,researcher
BioMM,GPL-3,Junfang Chen,10.18129/B9.BIOC.BIOMM,Q109650453,en,researcher  0000-0003-0945-962X
BioMVCClass,LGPL (>= 2.1),Elizabeth Whalen,10.18129/B9.BIOC.BIOMVCCLASS,Q88664281,en,researcher
biomvRCNS,GPL (>= 2),Yang Du,10.18129/B9.BIOC.BIOMVRCNS,Q8289912,en,politician (1875-1931)
BioNERO,GPL-3,Fabricio Almeida-Silva,10.18129/B9.BIOC.BIONERO,,,
BioNet,GPL (>= 2),Marcus Dittrich,10.18129/B9.BIOC.BIONET,,,
BioNetStat,GPL (>= 3),Vinicius Jardim,10.18129/B9.BIOC.BIONETSTAT,,,
BioPlex,Artistic-2.0,Ludwig Geistlinger,10.18129/B9.BIOC.BIOPLEX,Q88561965,en,researcher
BioQC,GPL (>= 3),Jitao David Zhang,10.18129/B9.BIOC.BIOQC,Q64785559,en,researcher
biosigner,CeCILL,Etienne A. Thevenot,10.18129/B9.BIOC.BIOSIGNER,Q43370375,en,researcher
Biostrings,Artistic-2.0,H. Pagès,10.18129/B9.BIOC.BIOSTRINGS,,,
BioTIP,GPL-2,Yuxi (Jennifer) Sun,10.18129/B9.BIOC.BIOTIP,,,
biotmle,MIT,Nima Hejazi,10.18129/B9.BIOC.BIOTMLE,Q99572891,en,researcher
biovizBase,Artistic-2.0,Michael Lawrence,10.18129/B9.BIOC.BIOVIZBASE,Q57321289,en,researcher (ORCID 0000-0003-1999-0801)
BiRewire,GPL-3,Andrea Gobbi,10.18129/B9.BIOC.BIREWIRE,Q63808457,en,researcher
biscuiteer,GPL-3,Jacob Morrison,10.18129/B9.BIOC.BISCUITEER,,,
BiSeq,LGPL (>= 2.1),Katja Hebestreit,10.18129/B9.BIOC.BISEQ,Q88200632,en,researcher
blacksheepr,MIT,RugglesLab,10.18129/B9.BIOC.BLACKSHEEPR,,,
blima,GPL-3,Vojtěch Kulvait,10.18129/B9.BIOC.BLIMA,Q83378312,en,researcher
BLMA,GPL (>= 2),Hung Nguyen,10.18129/B9.BIOC.BLMA,Q37372404,en,researcher (ORCID 0000-0003-3373-8178)
BloodGen3Module,GPL-2,Darawan Rinchai,10.18129/B9.BIOC.BLOODGEN3MODULE,Q56767099,en,researcher
bluster,GPL-3,Aaron Lun,10.18129/B9.BIOC.BLUSTER,Q61727711,en,researcher ORCID ID = 0000-0002-3564-4813
bnem,GPL-3,Martin Pirkl,10.18129/B9.BIOC.BNEM,,,
BOBaFIT,GPL (>= 3),Gaia Mazzocchetti,10.18129/B9.BIOC.BOBAFIT,,,
borealis,GPL-3,Garrett Jenkinson,10.18129/B9.BIOC.BOREALIS,Q89958653,en,researcher
BRAIN,GPL-2,Piotr Dittwald,10.18129/B9.BIOC.BRAIN,,,
brainflowprobes,Artistic-2.0,Amanda Price,10.18129/B9.BIOC.BRAINFLOWPROBES,Q64091402,en,researcher (ORCID 0000-0001-7352-3732)
BrainSABER,Artistic-2.0,USD Biomedical Engineering,10.18129/B9.BIOC.BRAINSABER,,,
branchpointer,BSD_3_clause,Beth Signal,10.18129/B9.BIOC.BRANCHPOINTER,,,
brendaDb,MIT,Yi Zhou,10.18129/B9.BIOC.BRENDADB,Q11512663,,
BRGenomics,Artistic-2.0,Mike DeBerardine,10.18129/B9.BIOC.BRGENOMICS,,,
bridge,GPL (>= 2),Raphael Gottardo,10.18129/B9.BIOC.BRIDGE,Q88268514,en,researcher
BridgeDbR,AGPL-3,Egon Willighagen,10.18129/B9.BIOC.BRIDGEDBR,Q20895241,en,Dutch chemist
BrowserViz,GPL-2,Paul Shannon,10.18129/B9.BIOC.BROWSERVIZ,,,
BSgenome,Artistic-2.0,H. Pagès,10.18129/B9.BIOC.BSGENOME,,,
BubbleTree,LGPL (>= 2.1),Todd Creasy,10.18129/B9.BIOC.BUBBLETREE,Q77545357,,
BufferedMatrix,LGPL (>= 2.1),Ben Bolstad,10.18129/B9.BIOC.BUFFEREDMATRIX,,,
BufferedMatrixMethods,GPL (>= 2),Ben Bolstad,10.18129/B9.BIOC.BUFFEREDMATRIXMETHODS,,,
bugsigdbr,GPL-3,Ludwig Geistlinger,10.18129/B9.BIOC.BUGSIGDBR,Q88561965,en,researcher
BUMHMM,GPL-3,Alina Selega,10.18129/B9.BIOC.BUMHMM,,,
BumpyMatrix,MIT,Aaron Lun,10.18129/B9.BIOC.BUMPYMATRIX,Q61727711,en,researcher ORCID ID = 0000-0002-3564-4813
BUS,GPL-3,Yuanhua Liu,10.18129/B9.BIOC.BUS,Q91458492,en,researcher (ORCID 0000-0001-9633-9639)
BUScorrect,GPL (>= 2),Xiangyu Luo,10.18129/B9.BIOC.BUSCORRECT,Q58218606,en,"researcher, ORCID id # 0000-0002-8825-3250"
BUSpaRse,BSD_2_clause,Lambda Moses,10.18129/B9.BIOC.BUSPARSE,,,
BUSseq,Artistic-2.0,Fangda Song,10.18129/B9.BIOC.BUSSEQ,Q96952573,en,researcher
CAEN,GPL-2,Zhou Yan,10.18129/B9.BIOC.CAEN,,,
CAFE,GPL-3,Sander Bollen,10.18129/B9.BIOC.CAFE,,,
cageminer,GPL-3,Fabrício Almeida-Silva,10.18129/B9.BIOC.CAGEMINER,,,
calm,GPL (>= 2),Kun Liang,10.18129/B9.BIOC.CALM,Q47351457,en,researcher (ORCID 0000-0001-5551-1439)
CAMERA,GPL (>= 2),Steffen Neumann,10.18129/B9.BIOC.CAMERA,Q28541023,en,German scientist
canceR,GPL-2,Karim Mezhoud,10.18129/B9.BIOC.CANCER,,,
cancerclass,GPL-3,Daniel Kosztyla,10.18129/B9.BIOC.CANCERCLASS,,,
CancerInSilico,GPL-2,Thomas D. Sherman,10.18129/B9.BIOC.CANCERINSILICO,,,
CancerSubtypes,GPL (>= 2),Taosheng Xu,10.18129/B9.BIOC.CANCERSUBTYPES,Q59703538,en,researcher ORCID ID = 0000-0001-8283-7274
CAnD,Artistic-2.0,Caitlin McHugh,10.18129/B9.BIOC.CAND,,,
caOmicsV,GPL (>= 2.0),Henry Zhang,10.18129/B9.BIOC.CAOMICSV,Q92887253,en,researcher (ORCID 0000-0003-4340-7487)
CARNIVAL,GPL-3,Attila Gabor,10.18129/B9.BIOC.CARNIVAL,Q86584322,en,researcher
casper,GPL (>= 2),David Rossell,10.18129/B9.BIOC.CASPER,Q90533855,en,researcher (ORCID 0000-0002-7104-5789)
CATALYST,GPL (>= 2),Helena L. Crowell,10.18129/B9.BIOC.CATALYST,,,
Category,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.CATEGORY,,,
CausalR,GPL (>= 2),Glyn Bradley,10.18129/B9.BIOC.CAUSALR,Q19845628,en,researcher
cbaf,Artistic-2.0,Arman Shahrisa,10.18129/B9.BIOC.CBAF,Q88072597,en,researcher
CBEA,MIT,Quang Nguyen,10.18129/B9.BIOC.CBEA,Q57200187,en,researcher
cbpManager,AGPL-3,Arsenij Ustjanzew,10.18129/B9.BIOC.CBPMANAGER,,,
ccfindR,GPL (>= 2),Jun Woo,10.18129/B9.BIOC.CCFINDR,,,
ccmap,MIT,Alex Pickering,10.18129/B9.BIOC.CCMAP,,,
CCPROMISE,GPL (>= 2),Xueyuan Cao,10.18129/B9.BIOC.CCPROMISE,Q38362258,en,researcher (ORCID 0000-0002-4746-4000)
ccrepe,MIT,Emma Schwager,10.18129/B9.BIOC.CCREPE,Q89119770,en,researcher
celaref,GPL-3,Sarah Williams,10.18129/B9.BIOC.CELAREF,,,
celda,MIT,Joshua Campbell,10.18129/B9.BIOC.CELDA,Q90079720,en,researcher
CellaRepertorium,GPL-3,Andrew McDavid,10.18129/B9.BIOC.CELLAREPERTORIUM,Q58072429,en,"researcher, ORCID id # 0000-0002-6581-1213"
CellBarcode,MIT,Wenjie Sun,10.18129/B9.BIOC.CELLBARCODE,Q93338694,en,researcher (ORCID 0000-0002-2608-9037)
cellbaseR,Apache License 2.0,Mohammed OE Abdallah,10.18129/B9.BIOC.CELLBASER,,,
CellBench,GPL-3,Shian Su,10.18129/B9.BIOC.CELLBENCH,,,
cellHTS2,Artistic-2.0,Joseph Barry,10.18129/B9.BIOC.CELLHTS2,,,
CelliD,GPL-3,Akira Cortal,10.18129/B9.BIOC.CELLID,,,
cellity,GPL (>= 2),Tomislav Ilicic,10.18129/B9.BIOC.CELLITY,,,
CellMapper,Artistic-2.0,Brad Nelms,10.18129/B9.BIOC.CELLMAPPER,,,
cellmigRation,GPL-2,Waldir Leoncio,10.18129/B9.BIOC.CELLMIGRATION,,,
CellMixS,GPL (>= 2),Almut Lütge,10.18129/B9.BIOC.CELLMIXS,,,
CellNOptR,GPL-3,Attila Gabor,10.18129/B9.BIOC.CELLNOPTR,Q86584322,en,researcher
cellscape,GPL-3,Maia Smith,10.18129/B9.BIOC.CELLSCAPE,Q59150957,en,researcher ORCID ID = 0000-0002-1154-1158
CellScore,GPL-3,Nancy Mah,10.18129/B9.BIOC.CELLSCORE,Q41048265,en,researcher
cellTree,Artistic-2.0,David duVerle,10.18129/B9.BIOC.CELLTREE,,,
cellxgenedp,Artistic-2.0,Martin Morgan,10.18129/B9.BIOC.CELLXGENEDP,Q60662565,en,researcher ORCID ID = 0000-0002-5874-8148
censcyt,MIT,Reto Gerber,10.18129/B9.BIOC.CENSCYT,,,
Cepo,MIT,Hani Jieun Kim,10.18129/B9.BIOC.CEPO,,,
ceRNAnetsim,GPL (>= 3.0),Selcen Ari Yuka,10.18129/B9.BIOC.CERNANETSIM,,,
CexoR,Artistic-2.0,Pedro Madrigal,10.18129/B9.BIOC.CEXOR,Q30504999,en,Computational biologist
CFAssay,LGPL (>= 2.1),Herbert Braselmann,10.18129/B9.BIOC.CFASSAY,Q58212202,en,"researcher, ORCID id # 0000-0001-5416-9440"
cfDNAPro,GPL-3,Haichao Wang,10.18129/B9.BIOC.CFDNAPRO,Q37375045,en,researcher (ORCID 0000-0002-0211-9000)
CGEN,GPL-2,Justin Lee,10.18129/B9.BIOC.CGEN,Q43198708,en,researcher (ORCID 0000-0001-8269-7494)
CGHbase,GPL,Mark van de Wiel,10.18129/B9.BIOC.CGHBASE,Q90102015,en,biostatistician
cghMCR,LGPL (>= 2.1),J. Zhang,10.18129/B9.BIOC.CGHMCR,Q61624271,,
CGHnormaliter,GPL (>= 3),Bart P.P. van Houte,10.18129/B9.BIOC.CGHNORMALITER,,,
ChemmineR,Artistic-2.0,Thomas Girke,10.18129/B9.BIOC.CHEMMINER,Q55473652,en,researcher
ChIC,GPL-2,Carmen Maria Livi,10.18129/B9.BIOC.CHIC,Q55979705,en,researcher
