Package,License,maintainer,DOI
Anaquin,BSD_3_clause,Ted Wong,10.18129/B9.BIOC.ANAQUIN
ANCOMBC,Artistic-2.0,Huang Lin,10.18129/B9.BIOC.ANCOMBC
ANF,GPL-3,Tianle Ma,10.18129/B9.BIOC.ANF
annaffy,LGPL (>= 2.1),Colin A. Smith,10.18129/B9.BIOC.ANNAFFY
annmap,GPL-2,Chris Wirth,10.18129/B9.BIOC.ANNMAP
annotate,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.ANNOTATE
AnnotationDbi,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.ANNOTATIONDBI
AnnotationFilter,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.ANNOTATIONFILTER
AnnotationForge,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.ANNOTATIONFORGE
AnnotationHub,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.ANNOTATIONHUB
AnnotationHubData,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.ANNOTATIONHUBDATA
annotationTools,GPL,Alexandre Kuhn,10.18129/B9.BIOC.ANNOTATIONTOOLS
annotatr,GPL-3,Raymond G. Cavalcante,10.18129/B9.BIOC.ANNOTATR
anota,GPL-3,Ola Larsson,10.18129/B9.BIOC.ANOTA
antiProfiles,Artistic-2.0,Hector Corrada Bravo,10.18129/B9.BIOC.ANTIPROFILES
AnVIL,Artistic-2.0,Martin Morgan,10.18129/B9.BIOC.ANVIL
AnVILBilling,Artistic-2.0,Vince Carey,10.18129/B9.BIOC.ANVILBILLING
AnVILPublish,Artistic-2.0,Martin Morgan,10.18129/B9.BIOC.ANVILPUBLISH
apComplex,LGPL (>= 2.1),Denise Scholtens,10.18129/B9.BIOC.APCOMPLEX
APL,GPL (>= 3),Elzbieta Gralinska,10.18129/B9.BIOC.APL
appreci8R,LGPL (>= 2.1),Sarah Sandmann,10.18129/B9.BIOC.APPRECI8R
ArrayExpress,Artistic-2.0,Suhaib Mohammed,10.18129/B9.BIOC.ARRAYEXPRESS
ArrayExpressHTS,Artistic License 2.0,Angela Goncalves,10.18129/B9.BIOC.ARRAYEXPRESSHTS
arrayMvout,Artistic-2.0,V. Carey,10.18129/B9.BIOC.ARRAYMVOUT
arrayQuality,LGPL (>= 2.1),Agnes Paquet,10.18129/B9.BIOC.ARRAYQUALITY
arrayQualityMetrics,LGPL (>= 2.1),Mike Smith,10.18129/B9.BIOC.ARRAYQUALITYMETRICS
ARRmNormalization,Artistic-2.0,Jean-Philippe Fortin,10.18129/B9.BIOC.ARRMNORMALIZATION
artMS,GPL (>= 3),David Jimenez-Morales,10.18129/B9.BIOC.ARTMS
ASAFE,Artistic-2.0,Qian Zhang,10.18129/B9.BIOC.ASAFE
ASEB,GPL (>= 3),Likun Wang,10.18129/B9.BIOC.ASEB
ASGSCA,GPL-3,Hela Romdhani,10.18129/B9.BIOC.ASGSCA
ASpediaFI,GPL-3,Doyeong Yu,10.18129/B9.BIOC.ASPEDIAFI
ASpli,GPL,Estefania Mancini,10.18129/B9.BIOC.ASPLI
ASSET,GPL-2,Samsiddhi Bhattacharjee,10.18129/B9.BIOC.ASSET
ASSIGN,MIT,Ying Shen,10.18129/B9.BIOC.ASSIGN
ASURAT,GPL-3,Keita Iida,10.18129/B9.BIOC.ASURAT
atena,Artistic-2.0,Beatriz Calvo-Serra,10.18129/B9.BIOC.ATENA
attract,LGPL (>= 2.1),Samuel Zimmerman,10.18129/B9.BIOC.ATTRACT
autonomics,GPL-3,Aditya Bhagwat,10.18129/B9.BIOC.AUTONOMICS
AWFisher,GPL-3,Zhiguang Huo,10.18129/B9.BIOC.AWFISHER
awst,MIT,Davide Risso,10.18129/B9.BIOC.AWST
BaalChIP,Artistic-2.0,Ines de Santiago,10.18129/B9.BIOC.BAALCHIP
BAC,Artistic-2.0,Raphael Gottardo,10.18129/B9.BIOC.BAC
bacon,GPL (>= 2),Maarten van Iterson,10.18129/B9.BIOC.BACON
BADER,GPL-2,Andreas Neudecker,10.18129/B9.BIOC.BADER
BadRegionFinder,LGPL (>= 2.1),Sarah Sandmann,10.18129/B9.BIOC.BADREGIONFINDER
BAGS,Artistic-2.0,Alejandro Quiroz-Zarate,10.18129/B9.BIOC.BAGS
ballgown,Artistic-2.0,Jack Fu,10.18129/B9.BIOC.BALLGOWN
bambu,GPL-3,Ying Chen,10.18129/B9.BIOC.BAMBU
bamsignals,GPL-2,Johannes Helmuth,10.18129/B9.BIOC.BAMSIGNALS
bandle,Artistic-2.0,Oliver M. Crook,10.18129/B9.BIOC.BANDLE
banocc,MIT,George Weingart,10.18129/B9.BIOC.BANOCC
basecallQC,GPL (>= 3),Thomas Carroll,10.18129/B9.BIOC.BASECALLQC
BaseSpaceR,Apache License 2.0,Jared O'Connell,10.18129/B9.BIOC.BASESPACER
Basic4Cseq,LGPL (>= 2.1),Carolin Walter,10.18129/B9.BIOC.BASIC4CSEQ
BASiCS,GPL (>= 2),Alan O'Callaghan,10.18129/B9.BIOC.BASICS
BasicSTARRseq,LGPL (>= 2.1),Annika Buerger,10.18129/B9.BIOC.BASICSTARRSEQ
basilisk,GPL-3,Aaron Lun,10.18129/B9.BIOC.BASILISK
basilisk.utils,GPL-3,Aaron Lun,10.18129/B9.BIOC.BASILISK.UTILS
BayesKnockdown,GPL-3,William Chad Young,10.18129/B9.BIOC.BAYESKNOCKDOWN
BayesSpace,MIT,Matt Stone,10.18129/B9.BIOC.BAYESSPACE
bayNorm,GPL (>= 2),Wenhao Tang,10.18129/B9.BIOC.BAYNORM
baySeq,GPL-3,Thomas J. Hardcastle,10.18129/B9.BIOC.BAYSEQ
BBCAnalyzer,LGPL (>= 2.1),Sarah Sandmann,10.18129/B9.BIOC.BBCANALYZER
BCRANK,GPL-2,Adam Ameur,10.18129/B9.BIOC.BCRANK
BDMMAcorrect,GPL (>= 2),ZHENWEI DAI,10.18129/B9.BIOC.BDMMACORRECT
beadarray,MIT,Mark Dunning,10.18129/B9.BIOC.BEADARRAY
beadarraySNP,GPL-2,Jan Oosting,10.18129/B9.BIOC.BEADARRAYSNP
BeadDataPackR,GPL-2,Mike Smith,10.18129/B9.BIOC.BEADDATAPACKR
BEARscc,GPL-3,Benjamin Schuster-Boeckler,10.18129/B9.BIOC.BEARSCC
BEAT,LGPL (>= 2.1),Kemal Akman,10.18129/B9.BIOC.BEAT
beer,MIT,Athena Chen,10.18129/B9.BIOC.BEER
benchdamic,Artistic-2.0,Matteo Calgaro,10.18129/B9.BIOC.BENCHDAMIC
BgeeCall,GPL-3,Julien Wollbrett,10.18129/B9.BIOC.BGEECALL
BGmix,GPL-2,Alex Lewin,10.18129/B9.BIOC.BGMIX
bgx,GPL-2,Ernest Turro,10.18129/B9.BIOC.BGX
BHC,GPL-3,Rich Savage,10.18129/B9.BIOC.BHC
BicARE,GPL-2,Pierre Gestraud,10.18129/B9.BIOC.BICARE
BiFET,GPL-3,Ahrim Youn,10.18129/B9.BIOC.BIFET
bigPint,GPL-3,Lindsay Rutter,10.18129/B9.BIOC.BIGPINT
Biobase,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.BIOBASE
biobroom,LGPL (>= 2.1),John D. Storey,10.18129/B9.BIOC.BIOBROOM
biobtreeR,MIT,Tamer Gur,10.18129/B9.BIOC.BIOBTREER
bioCancer,AGPL-3,Karim Mezhoud,10.18129/B9.BIOC.BIOCANCER
BiocCheck,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.BIOCCHECK
BiocDockerManager,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.BIOCDOCKERMANAGER
BiocFileCache,Artistic-2.0,Lori Shepherd,10.18129/B9.BIOC.BIOCFILECACHE
BiocGenerics,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.BIOCGENERICS
biocGraph,Artistic-2.0,Florian Hahne,10.18129/B9.BIOC.BIOCGRAPH
BiocIO,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.BIOCIO
BiocNeighbors,GPL-3,Aaron Lun,10.18129/B9.BIOC.BIOCNEIGHBORS
BiocOncoTK,Artistic-2.0,VJ Carey,10.18129/B9.BIOC.BIOCONCOTK
BioCor,MIT,Lluís Revilla Sancho,10.18129/B9.BIOC.BIOCOR
BiocParallel,GPL-2,Martin Morgan,10.18129/B9.BIOC.BIOCPARALLEL
BiocPkgTools,MIT,Sean Davis,10.18129/B9.BIOC.BIOCPKGTOOLS
BiocSet,Artistic-2.0,Kayla Morrell,10.18129/B9.BIOC.BIOCSET
BiocSingular,GPL-3,Aaron Lun,10.18129/B9.BIOC.BIOCSINGULAR
BiocSklearn,Artistic-2.0,Vince Carey,10.18129/B9.BIOC.BIOCSKLEARN
BiocStyle,Artistic-2.0,Bioconductor Package,10.18129/B9.BIOC.BIOCSTYLE
biocthis,Artistic-2.0,Leonardo Collado-Torres,10.18129/B9.BIOC.BIOCTHIS
BiocVersion,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.BIOCVERSION
biocViews,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.BIOCVIEWS
biodb,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODB
biodbChebi,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODBCHEBI
biodbExpasy,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODBEXPASY
biodbHmdb,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODBHMDB
biodbKegg,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODBKEGG
biodbLipidmaps,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODBLIPIDMAPS
biodbMirbase,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODBMIRBASE
biodbNcbi,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODBNCBI
biodbNci,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODBNCI
biodbUniprot,AGPL-3,Pierrick Roger,10.18129/B9.BIOC.BIODBUNIPROT
bioDist,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.BIODIST
biomaRt,Artistic-2.0,Mike Smith,10.18129/B9.BIOC.BIOMART
biomformat,GPL-2,Paul J. McMurdie,10.18129/B9.BIOC.BIOMFORMAT
BioMM,GPL-3,Junfang Chen,10.18129/B9.BIOC.BIOMM
BioMVCClass,LGPL (>= 2.1),Elizabeth Whalen,10.18129/B9.BIOC.BIOMVCCLASS
biomvRCNS,GPL (>= 2),Yang Du,10.18129/B9.BIOC.BIOMVRCNS
BioNERO,GPL-3,Fabricio Almeida-Silva,10.18129/B9.BIOC.BIONERO
BioNet,GPL (>= 2),Marcus Dittrich,10.18129/B9.BIOC.BIONET
BioNetStat,GPL (>= 3),Vinicius Jardim,10.18129/B9.BIOC.BIONETSTAT
BioPlex,Artistic-2.0,Ludwig Geistlinger,10.18129/B9.BIOC.BIOPLEX
BioQC,GPL (>= 3),Jitao David Zhang,10.18129/B9.BIOC.BIOQC
biosigner,CeCILL,Etienne A. Thevenot,10.18129/B9.BIOC.BIOSIGNER
Biostrings,Artistic-2.0,H. Pagès,10.18129/B9.BIOC.BIOSTRINGS
BioTIP,GPL-2,Yuxi (Jennifer) Sun,10.18129/B9.BIOC.BIOTIP
biotmle,MIT,Nima Hejazi,10.18129/B9.BIOC.BIOTMLE
biovizBase,Artistic-2.0,Michael Lawrence,10.18129/B9.BIOC.BIOVIZBASE
BiRewire,GPL-3,Andrea Gobbi,10.18129/B9.BIOC.BIREWIRE
biscuiteer,GPL-3,Jacob Morrison,10.18129/B9.BIOC.BISCUITEER
BiSeq,LGPL (>= 2.1),Katja Hebestreit,10.18129/B9.BIOC.BISEQ
blacksheepr,MIT,RugglesLab,10.18129/B9.BIOC.BLACKSHEEPR
blima,GPL-3,Vojtěch Kulvait,10.18129/B9.BIOC.BLIMA
BLMA,GPL (>= 2),Hung Nguyen,10.18129/B9.BIOC.BLMA
BloodGen3Module,GPL-2,Darawan Rinchai,10.18129/B9.BIOC.BLOODGEN3MODULE
bluster,GPL-3,Aaron Lun,10.18129/B9.BIOC.BLUSTER
bnem,GPL-3,Martin Pirkl,10.18129/B9.BIOC.BNEM
BOBaFIT,GPL (>= 3),Gaia Mazzocchetti,10.18129/B9.BIOC.BOBAFIT
borealis,GPL-3,Garrett Jenkinson,10.18129/B9.BIOC.BOREALIS
BRAIN,GPL-2,Piotr Dittwald,10.18129/B9.BIOC.BRAIN
brainflowprobes,Artistic-2.0,Amanda Price,10.18129/B9.BIOC.BRAINFLOWPROBES
BrainSABER,Artistic-2.0,USD Biomedical Engineering,10.18129/B9.BIOC.BRAINSABER
branchpointer,BSD_3_clause,Beth Signal,10.18129/B9.BIOC.BRANCHPOINTER
brendaDb,MIT,Yi Zhou,10.18129/B9.BIOC.BRENDADB
BRGenomics,Artistic-2.0,Mike DeBerardine,10.18129/B9.BIOC.BRGENOMICS
bridge,GPL (>= 2),Raphael Gottardo,10.18129/B9.BIOC.BRIDGE
BridgeDbR,AGPL-3,Egon Willighagen,10.18129/B9.BIOC.BRIDGEDBR
BrowserViz,GPL-2,Paul Shannon,10.18129/B9.BIOC.BROWSERVIZ
BSgenome,Artistic-2.0,H. Pagès,10.18129/B9.BIOC.BSGENOME
BubbleTree,LGPL (>= 2.1),Todd Creasy,10.18129/B9.BIOC.BUBBLETREE
BufferedMatrix,LGPL (>= 2.1),Ben Bolstad,10.18129/B9.BIOC.BUFFEREDMATRIX
BufferedMatrixMethods,GPL (>= 2),Ben Bolstad,10.18129/B9.BIOC.BUFFEREDMATRIXMETHODS
bugsigdbr,GPL-3,Ludwig Geistlinger,10.18129/B9.BIOC.BUGSIGDBR
BUMHMM,GPL-3,Alina Selega,10.18129/B9.BIOC.BUMHMM
BumpyMatrix,MIT,Aaron Lun,10.18129/B9.BIOC.BUMPYMATRIX
BUS,GPL-3,Yuanhua Liu,10.18129/B9.BIOC.BUS
BUScorrect,GPL (>= 2),Xiangyu Luo,10.18129/B9.BIOC.BUSCORRECT
BUSpaRse,BSD_2_clause,Lambda Moses,10.18129/B9.BIOC.BUSPARSE
BUSseq,Artistic-2.0,Fangda Song,10.18129/B9.BIOC.BUSSEQ
CAEN,GPL-2,Zhou Yan,10.18129/B9.BIOC.CAEN
CAFE,GPL-3,Sander Bollen,10.18129/B9.BIOC.CAFE
cageminer,GPL-3,Fabrício Almeida-Silva,10.18129/B9.BIOC.CAGEMINER
calm,GPL (>= 2),Kun Liang,10.18129/B9.BIOC.CALM
CAMERA,GPL (>= 2),Steffen Neumann,10.18129/B9.BIOC.CAMERA
canceR,GPL-2,Karim Mezhoud,10.18129/B9.BIOC.CANCER
cancerclass,GPL-3,Daniel Kosztyla,10.18129/B9.BIOC.CANCERCLASS
CancerInSilico,GPL-2,Thomas D. Sherman,10.18129/B9.BIOC.CANCERINSILICO
CancerSubtypes,GPL (>= 2),Taosheng Xu,10.18129/B9.BIOC.CANCERSUBTYPES
CAnD,Artistic-2.0,Caitlin McHugh,10.18129/B9.BIOC.CAND
caOmicsV,GPL (>= 2.0),Henry Zhang,10.18129/B9.BIOC.CAOMICSV
CARNIVAL,GPL-3,Attila Gabor,10.18129/B9.BIOC.CARNIVAL
casper,GPL (>= 2),David Rossell,10.18129/B9.BIOC.CASPER
CATALYST,GPL (>= 2),Helena L. Crowell,10.18129/B9.BIOC.CATALYST
Category,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.CATEGORY
CausalR,GPL (>= 2),Glyn Bradley,10.18129/B9.BIOC.CAUSALR
cbaf,Artistic-2.0,Arman Shahrisa,10.18129/B9.BIOC.CBAF
CBEA,MIT,Quang Nguyen,10.18129/B9.BIOC.CBEA
cbpManager,AGPL-3,Arsenij Ustjanzew,10.18129/B9.BIOC.CBPMANAGER
ccfindR,GPL (>= 2),Jun Woo,10.18129/B9.BIOC.CCFINDR
ccmap,MIT,Alex Pickering,10.18129/B9.BIOC.CCMAP
CCPROMISE,GPL (>= 2),Xueyuan Cao,10.18129/B9.BIOC.CCPROMISE
ccrepe,MIT,Emma Schwager,10.18129/B9.BIOC.CCREPE
celda,MIT,Joshua Campbell,10.18129/B9.BIOC.CELDA
CellaRepertorium,GPL-3,Andrew McDavid,10.18129/B9.BIOC.CELLAREPERTORIUM
CellBarcode,MIT,Wenjie Sun,10.18129/B9.BIOC.CELLBARCODE
cellbaseR,Apache License 2.0,Mohammed OE Abdallah,10.18129/B9.BIOC.CELLBASER
CellBench,GPL-3,Shian Su,10.18129/B9.BIOC.CELLBENCH
cellHTS2,Artistic-2.0,Joseph Barry,10.18129/B9.BIOC.CELLHTS2
CelliD,GPL-3,Akira Cortal,10.18129/B9.BIOC.CELLID
cellity,GPL (>= 2),Tomislav Ilicic,10.18129/B9.BIOC.CELLITY
CellMapper,Artistic-2.0,Brad Nelms,10.18129/B9.BIOC.CELLMAPPER
cellmigRation,GPL-2,Waldir Leoncio,10.18129/B9.BIOC.CELLMIGRATION
CellMixS,GPL (>= 2),Almut Lütge,10.18129/B9.BIOC.CELLMIXS
CellNOptR,GPL-3,Attila Gabor,10.18129/B9.BIOC.CELLNOPTR
cellscape,GPL-3,Maia Smith,10.18129/B9.BIOC.CELLSCAPE
CellScore,GPL-3,Nancy Mah,10.18129/B9.BIOC.CELLSCORE
cellTree,Artistic-2.0,David duVerle,10.18129/B9.BIOC.CELLTREE
cellxgenedp,Artistic-2.0,Martin Morgan,10.18129/B9.BIOC.CELLXGENEDP
censcyt,MIT,Reto Gerber,10.18129/B9.BIOC.CENSCYT
Cepo,MIT,Hani Jieun Kim,10.18129/B9.BIOC.CEPO
ceRNAnetsim,GPL (>= 3.0),Selcen Ari Yuka,10.18129/B9.BIOC.CERNANETSIM
CexoR,Artistic-2.0,Pedro Madrigal,10.18129/B9.BIOC.CEXOR
CFAssay,LGPL (>= 2.1),Herbert Braselmann,10.18129/B9.BIOC.CFASSAY
cfDNAPro,GPL-3,Haichao Wang,10.18129/B9.BIOC.CFDNAPRO
CGEN,GPL-2,Justin Lee,10.18129/B9.BIOC.CGEN
CGHbase,GPL,Mark van de Wiel,10.18129/B9.BIOC.CGHBASE
cghMCR,LGPL (>= 2.1),J. Zhang,10.18129/B9.BIOC.CGHMCR
CGHnormaliter,GPL (>= 3),Bart P.P. van Houte,10.18129/B9.BIOC.CGHNORMALITER
ChemmineR,Artistic-2.0,Thomas Girke,10.18129/B9.BIOC.CHEMMINER
ChIC,GPL-2,Carmen Maria Livi,10.18129/B9.BIOC.CHIC
Chicago,Artistic-2.0,Mikhail Spivakov,10.18129/B9.BIOC.CHICAGO
chimeraviz,Artistic-2.0,Stian Lågstad,10.18129/B9.BIOC.CHIMERAVIZ
chipenrich,GPL-3,Raymond G. Cavalcante,10.18129/B9.BIOC.CHIPENRICH
ChIPexoQual,GPL (>= 2),Rene Welch,10.18129/B9.BIOC.CHIPEXOQUAL
ChIPQC,GPL (>= 3),Tom Carroll,10.18129/B9.BIOC.CHIPQC
chipseq,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.CHIPSEQ
ChIPsim,GPL (>= 2),Peter Humburg,10.18129/B9.BIOC.CHIPSIM
ChIPXpress,GPL (>= 2),George Wu,10.18129/B9.BIOC.CHIPXPRESS
chopsticks,GPL-3,Hin-Tak Leung,10.18129/B9.BIOC.CHOPSTICKS
ChromHeatMap,Artistic-2.0,Tim F. Rayner,10.18129/B9.BIOC.CHROMHEATMAP
chromPlot,GPL (>= 2),Karen Y. Orostica,10.18129/B9.BIOC.CHROMPLOT
chromstaR,Artistic-2.0,Aaron Taudt,10.18129/B9.BIOC.CHROMSTAR
CHRONOS,GPL-2,Panos Balomenos,10.18129/B9.BIOC.CHRONOS
CIMICE,Artistic-2.0,Nicolò Rossi,10.18129/B9.BIOC.CIMICE
CINdex,GPL (>= 2),Yuriy Gusev,10.18129/B9.BIOC.CINDEX
circRNAprofiler,GPL-3,Simona Aufiero,10.18129/B9.BIOC.CIRCRNAPROFILER
cisPath,GPL (>= 3),Likun Wang,10.18129/B9.BIOC.CISPATH
CiteFuse,GPL-3,Yingxin Lin,10.18129/B9.BIOC.CITEFUSE
ClassifyR,GPL-3,Dario Strbenac,10.18129/B9.BIOC.CLASSIFYR
cleaver,GPL (>= 3),Sebastian Gibb,10.18129/B9.BIOC.CLEAVER
clippda,GPL (>= 2),Stephen Nyangoma,10.18129/B9.BIOC.CLIPPDA
clipper,AGPL-3,Paolo Martini,10.18129/B9.BIOC.CLIPPER
cliProfiler,Artistic-2.0,You Zhou,10.18129/B9.BIOC.CLIPROFILER
cliqueMS,GPL (>= 2),Oriol Senan Campos,10.18129/B9.BIOC.CLIQUEMS
Clomial,GPL (>= 2),Habil Zare,10.18129/B9.BIOC.CLOMIAL
Clonality,GPL-3,Irina Ostrovnaya,10.18129/B9.BIOC.CLONALITY
clst,GPL-3,Noah Hoffman,10.18129/B9.BIOC.CLST
clstutils,GPL-3,Noah Hoffman,10.18129/B9.BIOC.CLSTUTILS
CluMSID,MIT,Tobias Depke,10.18129/B9.BIOC.CLUMSID
clustComp,GPL (>= 2),Aurora Torrente,10.18129/B9.BIOC.CLUSTCOMP
clusterExperiment,Artistic-2.0,Elizabeth Purdom,10.18129/B9.BIOC.CLUSTEREXPERIMENT
ClusterJudge,Artistic-2.0,Adrian Pasculescu,10.18129/B9.BIOC.CLUSTERJUDGE
clusterProfiler,Artistic-2.0,Guangchuang Yu,10.18129/B9.BIOC.CLUSTERPROFILER
clusterSeq,GPL-3,Thomas J. Hardcastle,10.18129/B9.BIOC.CLUSTERSEQ
ClusterSignificance,GPL-3,Jason T Serviss,10.18129/B9.BIOC.CLUSTERSIGNIFICANCE
clusterStab,Artistic-2.0,James W. MacDonald,10.18129/B9.BIOC.CLUSTERSTAB
clustifyr,MIT,Kent Riemondy,10.18129/B9.BIOC.CLUSTIFYR
CMA,GPL (>= 2),Roman Hornung,10.18129/B9.BIOC.CMA
cn.farms,LGPL (>= 2.1),Andreas Mitterecker,10.18129/B9.BIOC.CN.FARMS
CNAnorm,GPL-2,Stefano Berri,10.18129/B9.BIOC.CNANORM
CNEr,GPL-2,Ge Tan,10.18129/B9.BIOC.CNER
CNORdt,GPL-2,A. MacNamara,10.18129/B9.BIOC.CNORDT
CNORfeeder,GPL-3,Attila Gabor,10.18129/B9.BIOC.CNORFEEDER
CNORfuzzy,GPL-2,T. Cokelaer,10.18129/B9.BIOC.CNORFUZZY
CNORode,GPL-2,Attila Gabor,10.18129/B9.BIOC.CNORODE
CNTools,LGPL (>= 2.1),J. Zhang,10.18129/B9.BIOC.CNTOOLS
CNVfilteR,Artistic-2.0,Jose Marcos Moreno-Cabrera,10.18129/B9.BIOC.CNVFILTER
CNVgears,GPL-3,Simone Montalbano,10.18129/B9.BIOC.CNVGEARS
cnvGSA,LGPL (>= 2.1),Joseph Lugo,10.18129/B9.BIOC.CNVGSA
CNViz,Artistic-2.0,Rebecca Greenblatt,10.18129/B9.BIOC.CNVIZ
CNVMetrics,Artistic-2.0,Astrid Deschênes,10.18129/B9.BIOC.CNVMETRICS
CNVPanelizer,GPL-3,Thomas Wolf,10.18129/B9.BIOC.CNVPANELIZER
CNVrd2,GPL-2,Hoang Tan Nguyen,10.18129/B9.BIOC.CNVRD2
CoCiteStats,CPL,Bioconductor Package Maintainer,10.18129/B9.BIOC.COCITESTATS
CODEX,GPL-2,Yuchao Jiang,10.18129/B9.BIOC.CODEX
CoGAPS,BSD_3_clause,Elana J. Fertig,10.18129/B9.BIOC.COGAPS
cogena,LGPL (>= 2.1),Zhilong Jia,10.18129/B9.BIOC.COGENA
cogeqc,GPL-3,Fabrício Almeida-Silva,10.18129/B9.BIOC.COGEQC
Cogito,LGPL (>= 2.1),Annika Bürger,10.18129/B9.BIOC.COGITO
coGPS,GPL-2,Yingying Wei,10.18129/B9.BIOC.COGPS
COHCAP,GPL-3,Charles Warden,10.18129/B9.BIOC.COHCAP
cola,MIT,Zuguang Gu,10.18129/B9.BIOC.COLA
comapr,MIT,Ruqian Lyu,10.18129/B9.BIOC.COMAPR
combi,GPL-2,Stijn Hawinkel,10.18129/B9.BIOC.COMBI
