Package,Version,Depends,License,DOI
AnnotationDbi,1.58.0,"R (>= 2.7.0), methods, utils, stats4, BiocGenerics (>=
0.29.2), Biobase (>= 1.17.0), IRanges",Artistic-2.0,10.18129/B9.BIOC.ANNOTATIONDBI
AnnotationFilter,1.20.0,R (>= 3.4.0),Artistic-2.0,10.18129/B9.BIOC.ANNOTATIONFILTER
AnnotationForge,1.38.0,"R (>= 3.5.0), methods, utils, BiocGenerics (>= 0.15.10),
Biobase (>= 1.17.0), AnnotationDbi (>= 1.33.14)",Artistic-2.0,10.18129/B9.BIOC.ANNOTATIONFORGE
AnnotationHub,3.4.0,"BiocGenerics (>= 0.15.10), BiocFileCache (>= 1.5.1)",Artistic-2.0,10.18129/B9.BIOC.ANNOTATIONHUB
AnnotationHubData,1.26.1,"R (>= 3.2.2), methods, utils, S4Vectors (>= 0.7.21), IRanges
(>= 2.3.23), GenomicRanges, AnnotationHub (>= 2.15.15)",Artistic-2.0,10.18129/B9.BIOC.ANNOTATIONHUBDATA
annotationTools,1.70.0,NA,GPL,10.18129/B9.BIOC.ANNOTATIONTOOLS
annotatr,1.22.0,R (>= 3.5.0),GPL-3,10.18129/B9.BIOC.ANNOTATR
anota,1.44.0,qvalue,GPL-3,10.18129/B9.BIOC.ANOTA
anota2seq,1.18.0,"R (>= 3.4.0), methods",GPL-3,10.18129/B9.BIOC.ANOTA2SEQ
antiProfiles,1.36.0,"R (>= 3.0), matrixStats (>= 0.50.0), methods (>= 2.14), locfit
(>= 1.5)",Artistic-2.0,10.18129/B9.BIOC.ANTIPROFILES
AnVIL,1.8.3,"R (>= 3.6), dplyr",Artistic-2.0,10.18129/B9.BIOC.ANVIL
AnVILBilling,1.6.0,R (>= 4.1),Artistic-2.0,10.18129/B9.BIOC.ANVILBILLING
AnVILPublish,1.6.0,NA,Artistic-2.0,10.18129/B9.BIOC.ANVILPUBLISH
APAlyzer,1.10.0,R (>= 3.5.0),LGPL-3,10.18129/B9.BIOC.APALYZER
apComplex,2.62.0,"R (>= 2.10), graph, RBGL",LGPL,10.18129/B9.BIOC.APCOMPLEX
apeglm,1.18.0,NA,GPL-2,10.18129/B9.BIOC.APEGLM
APL,1.0.0,R (>= 4.2),GPL (>= 3),10.18129/B9.BIOC.APL
appreci8R,1.14.0,NA,LGPL-3,10.18129/B9.BIOC.APPRECI8R
aroma.light,3.26.0,R (>= 2.15.2),GPL (>= 2),10.18129/B9.BIOC.AROMA.LIGHT
ArrayExpress,1.56.0,"R (>= 2.9.0), Biobase (>= 2.4.0)",Artistic-2.0,10.18129/B9.BIOC.ARRAYEXPRESS
ArrayExpressHTS,1.46.0,"sampling, Rsamtools (>= 1.99.0), snow",Artistic License 2.0,10.18129/B9.BIOC.ARRAYEXPRESSHTS
arrayMvout,1.54.0,"R (>= 2.6.0), tools, methods, utils, parody, Biobase, affy",Artistic-2.0,10.18129/B9.BIOC.ARRAYMVOUT
arrayQuality,1.74.0,R (>= 2.2.0),LGPL,10.18129/B9.BIOC.ARRAYQUALITY
arrayQualityMetrics,3.52.0,NA,LGPL (>= 2),10.18129/B9.BIOC.ARRAYQUALITYMETRICS
ARRmNormalization,1.36.0,"R (>= 2.15.1), ARRmData",Artistic-2.0,10.18129/B9.BIOC.ARRMNORMALIZATION
artMS,1.14.0,R (>= 4.1.0),GPL (>= 3),10.18129/B9.BIOC.ARTMS
ASAFE,1.22.0,R (>= 3.2),Artistic-2.0,10.18129/B9.BIOC.ASAFE
ASEB,1.40.0,"R (>= 2.8.0), methods",GPL (>= 3),10.18129/B9.BIOC.ASEB
ASGSCA,1.30.0,NA,GPL-3,10.18129/B9.BIOC.ASGSCA
ASICS,2.12.1,R (>= 3.5),GPL (>= 2),10.18129/B9.BIOC.ASICS
ASpediaFI,1.10.0,"R (>= 3.6.0), SummarizedExperiment, ROCR",GPL-3,10.18129/B9.BIOC.ASPEDIAFI
ASpli,2.6.0,"methods, grDevices, stats, utils, parallel, edgeR, limma,
AnnotationDbi",GPL,10.18129/B9.BIOC.ASPLI
AssessORF,1.14.0,"R (>= 3.5.0), DECIPHER (>= 2.10.0)",GPL-3,10.18129/B9.BIOC.ASSESSORF
ASSET,2.14.0,"R (>= 3.5.0), stats, graphics",GPL-2,10.18129/B9.BIOC.ASSET
ASSIGN,1.32.0,R (>= 3.4),MIT,10.18129/B9.BIOC.ASSIGN
ASURAT,1.0.0,R (>= 4.0.0),GPL-3,10.18129/B9.BIOC.ASURAT
ATACseqQC,1.20.2,"R (>= 3.5.0), BiocGenerics, S4Vectors",GPL (>= 2),10.18129/B9.BIOC.ATACSEQQC
atena,1.2.0,"R (>= 4.1), SummarizedExperiment",Artistic-2.0,10.18129/B9.BIOC.ATENA
atSNP,1.12.0,R (>= 3.6),GPL-2,10.18129/B9.BIOC.ATSNP
attract,1.48.0,"R (>= 3.4.0), AnnotationDbi",LGPL (>= 2.0),10.18129/B9.BIOC.ATTRACT
AUCell,1.18.1,NA,GPL-3,10.18129/B9.BIOC.AUCELL
autonomics,1.4.0,R (>= 4.0),GPL-3,10.18129/B9.BIOC.AUTONOMICS
AWFisher,1.10.0,R (>= 3.6),GPL-3,10.18129/B9.BIOC.AWFISHER
awst,1.4.0,NA,MIT,10.18129/B9.BIOC.AWST
BaalChIP,1.22.0,"R (>= 3.3.1), GenomicRanges, IRanges, Rsamtools,",Artistic-2.0,10.18129/B9.BIOC.BAALCHIP
BAC,1.56.0,R (>= 2.10),Artistic-2.0,10.18129/B9.BIOC.BAC
bacon,1.24.0,"R (>= 3.3), methods, stats, ggplot2, graphics, BiocParallel,
ellipse",GPL (>= 2),10.18129/B9.BIOC.BACON
BADER,1.34.0,NA,GPL-2,10.18129/B9.BIOC.BADER
BadRegionFinder,1.24.0,NA,LGPL-3,10.18129/B9.BIOC.BADREGIONFINDER
BAGS,2.36.0,"R (>= 2.10), breastCancerVDX, Biobase",Artistic-2.0,10.18129/B9.BIOC.BAGS
ballgown,2.28.0,"R (>= 3.5.0), methods",Artistic-2.0,10.18129/B9.BIOC.BALLGOWN
bambu,2.2.0,"R(>= 4.1), SummarizedExperiment(>= 1.1.6), S4Vectors(>=
0.22.1), BSgenome, IRanges",GPL-3,10.18129/B9.BIOC.BAMBU
bamsignals,1.28.0,R (>= 3.5.0),GPL-2,10.18129/B9.BIOC.BAMSIGNALS
BANDITS,1.12.0,R (>= 4.0.0),GPL (>= 3),10.18129/B9.BIOC.BANDITS
bandle,1.0.0,"R (>= 4.1), S4Vectors, Biobase, MSnbase, pRoloc",Artistic-2.0,10.18129/B9.BIOC.BANDLE
banocc,1.20.0,"R (>= 3.5.1), rstan (>= 2.17.4)",MIT,10.18129/B9.BIOC.BANOCC
basecallQC,1.20.0,"R (>= 3.4), stats, utils, methods, rmarkdown, knitr,
prettydoc, yaml",GPL (>= 3),10.18129/B9.BIOC.BASECALLQC
BaseSpaceR,1.40.0,"R (>= 2.15.0), RCurl, RJSONIO",Apache License 2.0,10.18129/B9.BIOC.BASESPACER
Basic4Cseq,1.32.0,"R (>= 3.4), Biostrings, GenomicAlignments, caTools,
GenomicRanges, grDevices, graphics, stats, utils",LGPL-3,10.18129/B9.BIOC.BASIC4CSEQ
BASiCS,2.8.0,"R (>= 4.0), SingleCellExperiment",GPL (>= 2),10.18129/B9.BIOC.BASICS
BasicSTARRseq,1.24.0,"GenomicRanges,GenomicAlignments",LGPL-3,10.18129/B9.BIOC.BASICSTARRSEQ
basilisk,1.8.0,NA,GPL-3,10.18129/B9.BIOC.BASILISK
basilisk.utils,1.8.0,NA,GPL-3,10.18129/B9.BIOC.BASILISK.UTILS
batchelor,1.12.3,SingleCellExperiment,GPL-3,10.18129/B9.BIOC.BATCHELOR
BatchQC,1.24.0,R (>= 3.5.0),GPL (>= 2),10.18129/B9.BIOC.BATCHQC
BayesKnockdown,1.22.0,R (>= 3.3),GPL-3,10.18129/B9.BIOC.BAYESKNOCKDOWN
BayesSpace,1.6.0,"R (>= 4.0.0), SingleCellExperiment",MIT,10.18129/B9.BIOC.BAYESSPACE
bayNorm,1.14.0,"R (>= 3.5),",GPL (>= 2),10.18129/B9.BIOC.BAYNORM
baySeq,2.30.0,"R (>= 2.3.0), methods, GenomicRanges, abind, parallel",GPL-3,10.18129/B9.BIOC.BAYSEQ
BBCAnalyzer,1.26.0,NA,LGPL-3,10.18129/B9.BIOC.BBCANALYZER
BCRANK,1.58.0,methods,GPL-2,10.18129/B9.BIOC.BCRANK
bcSeq,1.18.0,R (>= 3.4.0),GPL (>= 2),10.18129/B9.BIOC.BCSEQ
BDMMAcorrect,1.14.0,"R (>= 3.5), vegan, ellipse, ggplot2, ape, SummarizedExperiment",GPL (>= 2),10.18129/B9.BIOC.BDMMACORRECT
beachmat,2.12.0,NA,GPL-3,10.18129/B9.BIOC.BEACHMAT
beadarray,2.46.0,"R (>= 2.13.0), BiocGenerics (>= 0.3.2), Biobase (>= 2.17.8),
hexbin",MIT,10.18129/B9.BIOC.BEADARRAY
beadarraySNP,1.62.0,"methods, Biobase (>= 2.14), quantsmooth",GPL-2,10.18129/B9.BIOC.BEADARRAYSNP
BeadDataPackR,1.48.0,NA,GPL-2,10.18129/B9.BIOC.BEADDATAPACKR
BEARscc,1.16.0,R (>= 3.5.0),GPL-3,10.18129/B9.BIOC.BEARSCC
BEAT,1.34.0,R (>= 2.13.0),LGPL (>= 3.0),10.18129/B9.BIOC.BEAT
BEclear,2.12.0,BiocParallel (>= 1.14.2),GPL-3,10.18129/B9.BIOC.BECLEAR
beer,1.0.0,"R (>= 4.2.0), PhIPData (>= 1.1.1), rjags",MIT,10.18129/B9.BIOC.BEER
benchdamic,1.2.0,R (>= 4.1.0),Artistic-2.0,10.18129/B9.BIOC.BENCHDAMIC
BgeeCall,1.12.1,R (>= 3.6),GPL-3,10.18129/B9.BIOC.BGEECALL
BgeeDB,2.22.3,"R (>= 3.6.0), topGO, tidyr",GPL-3,10.18129/B9.BIOC.BGEEDB
BGmix,1.56.0,"R (>= 2.3.1), KernSmooth",GPL-2,10.18129/B9.BIOC.BGMIX
bgx,1.62.0,"R (>= 2.0.1), Biobase, affy (>= 1.5.0), gcrma (>= 2.4.1)",GPL-2,10.18129/B9.BIOC.BGX
BHC,1.48.0,NA,GPL-3,10.18129/B9.BIOC.BHC
BicARE,1.54.0,"R (>= 1.8.0), Biobase (>= 2.5.5), multtest, GSEABase",GPL-2,10.18129/B9.BIOC.BICARE
BiFET,1.16.0,R (>= 3.5.0),GPL-3,10.18129/B9.BIOC.BIFET
bigmelon,1.22.0,"R (>= 3.3), wateRmelon (>= 1.25.0), gdsfmt (>= 1.0.4),
methods, minfi (>= 1.21.0), Biobase, methylumi",GPL-3,10.18129/B9.BIOC.BIGMELON
bigPint,1.12.0,R (>= 3.6.0),GPL-3,10.18129/B9.BIOC.BIGPINT
BindingSiteFinder,1.2.0,"GenomicRanges, R (>= 4.1)",Artistic-2.0,10.18129/B9.BIOC.BINDINGSITEFINDER
bioassayR,1.34.0,"R (>= 3.5.0), DBI (>= 0.3.1), RSQLite (>= 1.0.0), methods,
Matrix, rjson, BiocGenerics (>= 0.13.8)",Artistic-2.0,10.18129/B9.BIOC.BIOASSAYR
Biobase,2.56.0,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils",Artistic-2.0,10.18129/B9.BIOC.BIOBASE
biobroom,1.28.0,"R (>= 3.0.0), broom",LGPL,10.18129/B9.BIOC.BIOBROOM
biobtreeR,1.8.0,NA,MIT,10.18129/B9.BIOC.BIOBTREER
bioCancer,1.24.01,"R (>= 3.6.0), radiant.data (>= 0.9.1), XML(>= 3.98)",AGPL-3,10.18129/B9.BIOC.BIOCANCER
BiocCheck,1.32.0,R (>= 4.2.0),Artistic-2.0,10.18129/B9.BIOC.BIOCCHECK
BiocDockerManager,1.8.0,R (>= 4.1),Artistic-2.0,10.18129/B9.BIOC.BIOCDOCKERMANAGER
BiocFileCache,2.4.0,"R (>= 3.4.0), dbplyr (>= 1.0.0)",Artistic-2.0,10.18129/B9.BIOC.BIOCFILECACHE
BiocGenerics,0.42.0,"R (>= 4.0.0), methods, utils, graphics, stats",Artistic-2.0,10.18129/B9.BIOC.BIOCGENERICS
biocGraph,1.58.0,"Rgraphviz, graph",Artistic-2.0,10.18129/B9.BIOC.BIOCGRAPH
BiocIO,1.6.0,R (>= 4.0),Artistic-2.0,10.18129/B9.BIOC.BIOCIO
BiocNeighbors,1.14.0,NA,GPL-3,10.18129/B9.BIOC.BIOCNEIGHBORS
BiocOncoTK,1.16.0,"R (>= 3.6.0), methods, utils",Artistic-2.0,10.18129/B9.BIOC.BIOCONCOTK
BioCor,1.20.0,R (>= 3.4.0),MIT,10.18129/B9.BIOC.BIOCOR
BiocParallel,1.30.3,"methods, R (>= 3.5.0)",GPL-2,10.18129/B9.BIOC.BIOCPARALLEL
BiocPkgTools,1.14.0,htmlwidgets,MIT,10.18129/B9.BIOC.BIOCPKGTOOLS
BiocSet,1.10.0,"R (>= 3.6), dplyr",Artistic-2.0,10.18129/B9.BIOC.BIOCSET
BiocSingular,1.12.0,NA,GPL-3,10.18129/B9.BIOC.BIOCSINGULAR
BiocSklearn,1.18.2,"R (>= 4.0), reticulate, methods, SummarizedExperiment",Artistic-2.0,10.18129/B9.BIOC.BIOCSKLEARN
BiocStyle,2.24.0,NA,Artistic-2.0,10.18129/B9.BIOC.BIOCSTYLE
biocthis,1.6.0,NA,Artistic-2.0,10.18129/B9.BIOC.BIOCTHIS
BiocVersion,3.15.2,R (>= 4.2.0),Artistic-2.0,10.18129/B9.BIOC.BIOCVERSION
biocViews,1.64.1,R (>= 3.6.0),Artistic-2.0,10.18129/B9.BIOC.BIOCVIEWS
BiocWorkflowTools,1.22.0,R (>= 3.4),MIT,10.18129/B9.BIOC.BIOCWORKFLOWTOOLS
biodb,1.4.0,R (>= 4.1.0),AGPL-3,10.18129/B9.BIOC.BIODB
biodbChebi,1.2.0,R (>= 4.1),AGPL-3,10.18129/B9.BIOC.BIODBCHEBI
biodbExpasy,1.0.0,R (>= 4.1),AGPL-3,10.18129/B9.BIOC.BIODBEXPASY
biodbHmdb,1.2.0,R (>= 4.1),AGPL-3,10.18129/B9.BIOC.BIODBHMDB
biodbKegg,1.2.0,R (>= 4.1),AGPL-3,10.18129/B9.BIOC.BIODBKEGG
biodbLipidmaps,1.2.0,R (>= 4.1),AGPL-3,10.18129/B9.BIOC.BIODBLIPIDMAPS
biodbMirbase,1.0.0,R (>= 4.1),AGPL-3,10.18129/B9.BIOC.BIODBMIRBASE
biodbNcbi,1.0.0,R (>= 4.1),AGPL-3,10.18129/B9.BIOC.BIODBNCBI
biodbNci,1.0.0,R (>= 4.1),AGPL-3,10.18129/B9.BIOC.BIODBNCI
biodbUniprot,1.2.0,R (>= 4.1.0),AGPL-3,10.18129/B9.BIOC.BIODBUNIPROT
bioDist,1.68.0,"R (>= 2.0), methods, Biobase,KernSmooth",Artistic-2.0,10.18129/B9.BIOC.BIODIST
biomaRt,2.52.0,methods,Artistic-2.0,10.18129/B9.BIOC.BIOMART
biomformat,1.24.0,"R (>= 3.2), methods",GPL-2,10.18129/B9.BIOC.BIOMFORMAT
BioMM,1.12.0,R (>= 3.6),GPL-3,10.18129/B9.BIOC.BIOMM
BioMVCClass,1.64.0,"R (>= 2.1.0), methods, MVCClass, Biobase, graph, Rgraphviz",LGPL,10.18129/B9.BIOC.BIOMVCCLASS
biomvRCNS,1.36.0,"R (>= 3.5.0), IRanges, GenomicRanges, Gviz",GPL (>= 2),10.18129/B9.BIOC.BIOMVRCNS
BioNERO,1.4.0,R (>= 4.1),GPL-3,10.18129/B9.BIOC.BIONERO
BioNet,1.56.0,"R (>= 2.10.0), graph, RBGL",GPL (>= 2),10.18129/B9.BIOC.BIONET
BioNetStat,1.16.1,"R (>= 4.0), shiny, igraph, shinyBS, pathview, DT",GPL (>= 3),10.18129/B9.BIOC.BIONETSTAT
BioPlex,1.2.3,"R (>= 4.1.0), SummarizedExperiment",Artistic-2.0,10.18129/B9.BIOC.BIOPLEX
BioQC,1.24.0,"R (>= 3.5.0), Biobase",GPL (>= 3),10.18129/B9.BIOC.BIOQC
biosigner,1.24.2,NA,CeCILL,10.18129/B9.BIOC.BIOSIGNER
Biostrings,2.64.0,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.23.9), XVector (>= 0.29.2),
GenomeInfoDb",Artistic-2.0,10.18129/B9.BIOC.BIOSTRINGS
BioTIP,1.10.0,R (>= 3.6),GPL-2,10.18129/B9.BIOC.BIOTIP
biotmle,1.20.0,R (>= 4.0),MIT,10.18129/B9.BIOC.BIOTMLE
biovizBase,1.44.0,"R (>= 3.5.0), methods",Artistic-2.0,10.18129/B9.BIOC.BIOVIZBASE
BiRewire,3.28.0,"igraph, slam, Rtsne, Matrix",GPL-3,10.18129/B9.BIOC.BIREWIRE
biscuiteer,1.10.0,"R (>= 4.1.0), biscuiteerData, bsseq",GPL-3,10.18129/B9.BIOC.BISCUITEER
BiSeq,1.36.0,"R (>= 3.5.0), methods, S4Vectors, IRanges (>= 1.17.24),
GenomicRanges, SummarizedExperiment (>= 0.2.0), Formula",LGPL-3,10.18129/B9.BIOC.BISEQ
BitSeq,1.40.0,Rsamtools (>= 1.99.3),Artistic-2.0,10.18129/B9.BIOC.BITSEQ
blacksheepr,1.10.0,R (>= 3.6),MIT,10.18129/B9.BIOC.BLACKSHEEPR
blima,1.30.0,R(>= 3.3),GPL-3,10.18129/B9.BIOC.BLIMA
BLMA,1.20.0,"ROntoTools, GSA, PADOG, limma, graph, stats, utils, parallel,
Biobase, metafor, methods",GPL (>= 2),10.18129/B9.BIOC.BLMA
BloodGen3Module,1.4.0,R (>= 4.1),GPL-2,10.18129/B9.BIOC.BLOODGEN3MODULE
bluster,1.6.0,NA,GPL-3,10.18129/B9.BIOC.BLUSTER
bnbc,1.18.0,"R (>= 3.5.0), methods, BiocGenerics, SummarizedExperiment,
GenomicRanges",Artistic-2.0,10.18129/B9.BIOC.BNBC
bnem,1.4.0,R (>= 4.1),GPL-3,10.18129/B9.BIOC.BNEM
BOBaFIT,1.0.1,R (>= 2.10),GPL (>= 3),10.18129/B9.BIOC.BOBAFIT
borealis,1.0.1,"R (>= 4.2.0), Biobase",GPL-3,10.18129/B9.BIOC.BOREALIS
BPRMeth,1.22.0,"R (>= 3.5.0), GenomicRanges",GPL-3,10.18129/B9.BIOC.BPRMETH
BRAIN,1.42.0,"R (>= 2.8.1), PolynomF, Biostrings, lattice",GPL-2,10.18129/B9.BIOC.BRAIN
brainflowprobes,1.10.0,R (>= 3.6.0),Artistic-2.0,10.18129/B9.BIOC.BRAINFLOWPROBES
BrainSABER,1.6.0,"R (>= 4.1.0), biomaRt, SummarizedExperiment",Artistic-2.0,10.18129/B9.BIOC.BRAINSABER
branchpointer,1.22.0,"caret, R(>= 3.4)",BSD_3_clause,10.18129/B9.BIOC.BRANCHPOINTER
brendaDb,1.10.0,NA,MIT,10.18129/B9.BIOC.BRENDADB
BRGenomics,1.8.0,"R (>= 4.0), rtracklayer, GenomeInfoDb, S4Vectors",Artistic-2.0,10.18129/B9.BIOC.BRGENOMICS
bridge,1.60.0,"R (>= 1.9.0), rama",GPL (>= 2),10.18129/B9.BIOC.BRIDGE
BridgeDbR,2.6.0,"R (>= 3.3.0), rJava",AGPL-3,10.18129/B9.BIOC.BRIDGEDBR
BrowserViz,2.18.0,"R (>= 3.5.0), jsonlite (>= 1.5), httpuv(>= 1.5.0)",GPL-2,10.18129/B9.BIOC.BROWSERVIZ
BSgenome,1.64.0,"R (>= 2.8.0), methods, BiocGenerics (>= 0.13.8), S4Vectors (>=
0.17.28), IRanges (>= 2.13.16), GenomeInfoDb (>= 1.25.6),
GenomicRanges (>= 1.31.10), Biostrings (>= 2.47.6), rtracklayer
(>= 1.39.7)",Artistic-2.0,10.18129/B9.BIOC.BSGENOME
bsseq,1.32.0,"R (>= 4.0), methods, BiocGenerics, GenomicRanges (>= 1.41.5),
SummarizedExperiment (>= 1.19.5)",Artistic-2.0,10.18129/B9.BIOC.BSSEQ
BubbleTree,2.26.0,"R (>= 3.5), IRanges, GenomicRanges, plyr, dplyr, magrittr",LGPL (>= 3),10.18129/B9.BIOC.BUBBLETREE
BufferedMatrix,1.60.0,"R (>= 2.6.0), methods",LGPL (>= 2),10.18129/B9.BIOC.BUFFEREDMATRIX
BufferedMatrixMethods,1.60.0,"R (>= 2.6.0), BufferedMatrix (>= 1.3.0), methods",GPL (>= 2),10.18129/B9.BIOC.BUFFEREDMATRIXMETHODS
bugsigdbr,1.2.0,R (>= 4.1),GPL-3,10.18129/B9.BIOC.BUGSIGDBR
BUMHMM,1.20.0,R (>= 3.5.0),GPL-3,10.18129/B9.BIOC.BUMHMM
