Package,Version,Depends,License,DOI,QID,Descr_lang,Descr,License_DOI
affxparser,1.68.1,R (>= 2.14.0),LGPL (>= 2.1),10.18129/B9.BIOC.AFFXPARSER,,,,Q27016757
affy,1.74.0,"R (>= 2.8.0), BiocGenerics (>= 0.1.12), Biobase (>= 2.5.5)",LGPL (>= 2.1),10.18129/B9.BIOC.AFFY,Q2826104,,,Q27016757
affycomp,1.72.0,"R (>= 2.13.0), methods, Biobase (>= 2.3.3)",GPL (>= 2),10.18129/B9.BIOC.AFFYCOMP,,,,Q27016752
AffyCompatible,1.56.0,"R (>= 2.7.0), XML (>= 2.8-1), RCurl (>= 0.8-1), methods",Artistic-2.0,10.18129/B9.BIOC.AFFYCOMPATIBLE,,,,Q14624826
affyContam,1.54.0,"R (>= 2.7.0), tools, methods, utils, Biobase, affy, affydata",Artistic-2.0,10.18129/B9.BIOC.AFFYCONTAM,,,,Q14624826
affycoretools,1.68.1,"Biobase, methods",Artistic-2.0,10.18129/B9.BIOC.AFFYCORETOOLS,,,,Q14624826
affyILM,1.48.0,"R (>= 2.10.0), methods, gcrma",GPL-3,10.18129/B9.BIOC.AFFYILM,,,,Q63034458
affyio,1.66.0,R (>= 2.6.0),LGPL (>= 2),10.18129/B9.BIOC.AFFYIO,,,,Q27016757
affylmGUI,1.70.0,NA,GPL (>= 2),10.18129/B9.BIOC.AFFYLMGUI,Q33233003,en,scientific article,Q27016752
affyPLM,1.72.0,"R (>= 2.6.0), BiocGenerics (>= 0.3.2), affy (>= 1.11.0),
Biobase (>= 2.17.8), gcrma, stats, preprocessCore (>= 1.5.1)",GPL (>= 2),10.18129/B9.BIOC.AFFYPLM,,,,Q27016752
AffyRNADegradation,1.42.0,"R (>= 2.9.0), methods, affy",GPL-2,10.18129/B9.BIOC.AFFYRNADEGRADATION,Q34457654,en,scientific article,Q63002579
AGDEX,1.44.0,"R (>= 2.10), Biobase, GSEABase",GPL (>= 2),10.18129/B9.BIOC.AGDEX,,,,Q27016752
aggregateBioVar,1.6.2000,R (>= 4.0),GPL-3,10.18129/B9.BIOC.AGGREGATEBIOVAR,,,,Q63034458
agilp,3.28.0,R (>= 2.14.0),GPL-3,10.18129/B9.BIOC.AGILP,,,,Q63034458
AgiMicroRna,2.46.0,"R (>= 2.10),methods,Biobase,limma,affy (>=
1.22),preprocessCore,affycoretools",GPL-3,10.18129/B9.BIOC.AGIMICRORNA,,,,Q63034458
AIMS,1.28.0,"R (>= 2.10), e1071, Biobase",Artistic-2.0,10.18129/B9.BIOC.AIMS,Q43896669,en,"healthcare organization in Dombivali, India",Q14624826
airpart,1.4.2000,R (>= 4.1),GPL-2,10.18129/B9.BIOC.AIRPART,,,,Q63002579
alevinQC,1.12.2001,R (>= 4.0),MIT,10.18129/B9.BIOC.ALEVINQC,,,,Q49108
AllelicImbalance,1.34.0,"R (>= 4.0.0), grid, GenomicRanges (>= 1.31.8),
SummarizedExperiment (>= 0.2.0), GenomicAlignments (>= 1.15.6)",GPL-3,10.18129/B9.BIOC.ALLELICIMBALANCE,Q30970113,en,scientific article,Q63034458
AlphaBeta,1.10.2000,R (>= 3.6.0),GPL-3,10.18129/B9.BIOC.ALPHABETA,Q661126,en,Israeli band,Q63034458
alpine,1.22.0,R (>= 3.5.0),GPL (>= 2),10.18129/B9.BIOC.ALPINE,Q1286,en,European mountain range,Q27016752
AlpsNMR,3.6.2000,"R (>= 4.1), dplyr (>= 0.7.5), future (>= 1.10.0), magrittr (>=
1.5)",MIT,10.18129/B9.BIOC.ALPSNMR,Q92595974,en,scientific article published on 13 January 2020,Q49108
altcdfenvs,2.58.0,"R (>= 2.7), methods, BiocGenerics (>= 0.1.0), S4Vectors (>=
0.9.25), Biobase (>= 2.15.1), affy, makecdfenv, Biostrings,
hypergraph",GPL (>= 2),10.18129/B9.BIOC.ALTCDFENVS,,,,Q27016752
AMARETTO,1.12.2000,"R (>= 3.6), impute, doParallel, grDevices, dplyr, methods,
ComplexHeatmap",Apache License 2.0,10.18129/B9.BIOC.AMARETTO,Q455045,en,Italian almond liqueur,Q13785927
AMOUNTAIN,1.22.0,R (>= 3.3.0),GPL (>= 2),10.18129/B9.BIOC.AMOUNTAIN,,,,Q27016752
amplican,1.18.0,"R (>= 3.5.0), methods, BiocGenerics (>= 0.22.0), Biostrings
(>= 2.44.2), data.table (>= 1.10.4-3)",GPL-3,10.18129/B9.BIOC.AMPLICAN,,,,Q63034458
Anaquin,2.20.0,"R (>= 3.3), ggplot2 (>= 2.2.0)",BSD_3_clause,10.18129/B9.BIOC.ANAQUIN,Q38994627,en,scientific article published on 27 January 2017,Q18491847
ANCOMBC,1.6.2002,NA,Artistic-2.0,10.18129/B9.BIOC.ANCOMBC,,,,Q14624826
AneuFinder,1.24.0,"R (>= 3.5), GenomicRanges, ggplot2, cowplot, AneuFinderData",Artistic-2.0,10.18129/B9.BIOC.ANEUFINDER,,,,Q14624826
ANF,1.18.0,NA,GPL-3,10.18129/B9.BIOC.ANF,Q185390,en,autoantibody that binds to contents of the cell nucleus,Q63034458
animalcules,1.12.2000,R (>= 4.0.0),Artistic-2.0,10.18129/B9.BIOC.ANIMALCULES,Q43463469,en,Composition by Carolyn Chen,Q14624826
annaffy,1.68.0,"R (>= 2.5.0), methods, Biobase, BiocManager, GO.db",LGPL,10.18129/B9.BIOC.ANNAFFY,,,,Q192897
annmap,1.38.0,"R (>= 2.15.0), methods, GenomicRanges",GPL-2,10.18129/B9.BIOC.ANNMAP,,,,Q63002579
annotate,1.74.0,"R (>= 2.10), AnnotationDbi (>= 1.27.5), XML",Artistic-2.0,10.18129/B9.BIOC.ANNOTATE,Q6503489,en,Law of the Republic of China (Taiwan),Q14624826
AnnotationDbi,1.58.0,"R (>= 2.7.0), methods, utils, stats4, BiocGenerics (>=
0.29.2), Biobase (>= 1.17.0), IRanges",Artistic-2.0,10.18129/B9.BIOC.ANNOTATIONDBI,,,,Q14624826
AnnotationFilter,1.20.0,R (>= 3.4.0),Artistic-2.0,10.18129/B9.BIOC.ANNOTATIONFILTER,,,,Q14624826
AnnotationForge,1.38.0,"R (>= 3.5.0), methods, utils, BiocGenerics (>= 0.15.10),
Biobase (>= 1.17.0), AnnotationDbi (>= 1.33.14)",Artistic-2.0,10.18129/B9.BIOC.ANNOTATIONFORGE,,,,Q14624826
AnnotationHub,3.4.2000,"BiocGenerics (>= 0.15.10), BiocFileCache (>= 1.5.1)",Artistic-2.0,10.18129/B9.BIOC.ANNOTATIONHUB,,,,Q14624826
AnnotationHubData,1.26.1,"R (>= 3.2.2), methods, utils, S4Vectors (>= 0.7.21), IRanges
(>= 2.3.23), GenomicRanges, AnnotationHub (>= 2.15.15)",Artistic-2.0,10.18129/B9.BIOC.ANNOTATIONHUBDATA,,,,Q14624826
annotationTools,1.70.0,NA,GPL,10.18129/B9.BIOC.ANNOTATIONTOOLS,,,,Q7603
annotatr,1.22.0,R (>= 3.5.0),GPL-3,10.18129/B9.BIOC.ANNOTATR,Q38860288,en,scientific article,Q63034458
anota,1.44.0,qvalue,GPL-3,10.18129/B9.BIOC.ANOTA,Q18230496,en,genus of plants,Q63034458
anota2seq,1.18.0,"R (>= 3.4.0), methods",GPL-3,10.18129/B9.BIOC.ANOTA2SEQ,,,,Q63034458
antiProfiles,1.36.0,"R (>= 3.0), matrixStats (>= 0.50.0), methods (>= 2.14), locfit
(>= 1.5)",Artistic-2.0,10.18129/B9.BIOC.ANTIPROFILES,,,,Q14624826
AnVIL,1.8.2003,"R (>= 3.6), dplyr",Artistic-2.0,10.18129/B9.BIOC.ANVIL,Q104363,en,metalworking tool,Q14624826
AnVILBilling,1.6.2000,R (>= 4.1),Artistic-2.0,10.18129/B9.BIOC.ANVILBILLING,,,,Q14624826
AnVILPublish,1.6.2000,NA,Artistic-2.0,10.18129/B9.BIOC.ANVILPUBLISH,,,,Q14624826
APAlyzer,1.10.2000,R (>= 3.5.0),LGPL-3,10.18129/B9.BIOC.APALYZER,Q93157997,en,scientific article published on 22 April 2020,Q18534393
apComplex,2.62.0,"R (>= 2.10), graph, RBGL",LGPL,10.18129/B9.BIOC.APCOMPLEX,,,,Q192897
apeglm,1.18.0,NA,GPL-2,10.18129/B9.BIOC.APEGLM,,,,Q63002579
APL,1.0.0,R (>= 4.2),GPL (>= 3),10.18129/B9.BIOC.APL,Q612108,en,acute myeloid leukemia characterized by accumulation of promyelocytes in the bone marrow and by a translocation between chromosomes 15 and 17,Q27016754
appreci8R,1.14.0,NA,LGPL-3,10.18129/B9.BIOC.APPRECI8R,,,,Q18534393
aroma.light,3.26.0,R (>= 2.15.2),GPL (>= 2),10.18129/B9.BIOC.AROMA.LIGHT,,,,Q27016752
ArrayExpress,1.56.0,"R (>= 2.9.0), Biobase (>= 2.4.0)",Artistic-2.0,10.18129/B9.BIOC.ARRAYEXPRESS,Q106638376,en,data repository from EMBL-EBI,Q14624826
ArrayExpressHTS,1.46.0,"sampling, Rsamtools (>= 1.99.0), snow",Artistic License 2.0,10.18129/B9.BIOC.ARRAYEXPRESSHTS,,,,Q14624826
arrayMvout,1.54.0,"R (>= 2.6.0), tools, methods, utils, parody, Biobase, affy",Artistic-2.0,10.18129/B9.BIOC.ARRAYMVOUT,,,,Q14624826
arrayQuality,1.74.0,R (>= 2.2.0),LGPL,10.18129/B9.BIOC.ARRAYQUALITY,Q33395574,en,scientific article,Q192897
arrayQualityMetrics,3.52.0,NA,LGPL (>= 2),10.18129/B9.BIOC.ARRAYQUALITYMETRICS,Q33395574,en,scientific article,Q27016757
ARRmNormalization,1.36.0,"R (>= 2.15.1), ARRmData",Artistic-2.0,10.18129/B9.BIOC.ARRMNORMALIZATION,,,,Q14624826
artMS,1.14.0,R (>= 4.1.0),GPL (>= 3),10.18129/B9.BIOC.ARTMS,Q106485531,en,"medical isotope technology company from Burnaby, BC, Canada",Q27016754
ASAFE,1.22.0,R (>= 3.2),Artistic-2.0,10.18129/B9.BIOC.ASAFE,Q15577798,en,species of plant,Q14624826
ASEB,1.40.0,"R (>= 2.8.0), methods",GPL (>= 3),10.18129/B9.BIOC.ASEB,Q24698155,en,river in Ghana,Q27016754
ASGSCA,1.30.0,NA,GPL-3,10.18129/B9.BIOC.ASGSCA,,,,Q63034458
ASICS,2.12.2001,R (>= 3.5),GPL (>= 2),10.18129/B9.BIOC.ASICS,Q327247,en,Japanese athletic equipment company,Q27016752
ASpediaFI,1.10.2000,"R (>= 3.6.0), SummarizedExperiment, ROCR",GPL-3,10.18129/B9.BIOC.ASPEDIAFI,,,,Q63034458
ASpli,2.6.2000,"methods, grDevices, stats, utils, parallel, edgeR, limma,
AnnotationDbi",GPL,10.18129/B9.BIOC.ASPLI,Q30301621,en,family name,Q7603
AssessORF,1.14.0,"R (>= 3.5.0), DECIPHER (>= 2.10.0)",GPL-3,10.18129/B9.BIOC.ASSESSORF,Q90159663,en,scientific article published on 01 February 2020,Q63034458
ASSET,2.14.0,"R (>= 3.5.0), stats, graphics",GPL-2,10.18129/B9.BIOC.ASSET,Q46737,en,"economic resource, from which future economic benefits are expected",Q63002579
ASSIGN,1.32.0,R (>= 3.4),MIT,10.18129/B9.BIOC.ASSIGN,Q21014657,en,moment or event when something is formally granted,Q49108
ASURAT,1.0.0,R (>= 4.0.0),GPL-3,10.18129/B9.BIOC.ASURAT,Q624083,en,"Mythical beings, antigods, demons in Indian religions",Q63034458
ATACseqQC,1.20.2,"R (>= 3.5.0), BiocGenerics, S4Vectors",GPL (>= 2),10.18129/B9.BIOC.ATACSEQQC,Q54975295,en,scientific article,Q27016752
atena,1.2.2000,"R (>= 4.1), SummarizedExperiment",Artistic-2.0,10.18129/B9.BIOC.ATENA,Q16419980,en,female given name,Q14624826
atSNP,1.12.2000,R (>= 3.6),GPL-2,10.18129/B9.BIOC.ATSNP,Q36276489,en,scientific article,Q63002579
attract,1.48.0,"R (>= 3.4.0), AnnotationDbi",LGPL (>= 2.0),10.18129/B9.BIOC.ATTRACT,Q316,en,"strong, positive emotion based on affection",Q27016757
AUCell,1.18.1,NA,GPL-3,10.18129/B9.BIOC.AUCELL,Q313290,,,Q63034458
autonomics,1.4.2000,R (>= 4.0),GPL-3,10.18129/B9.BIOC.AUTONOMICS,Q105695415,en,conference series,Q63034458
AWFisher,1.10.2000,R (>= 3.6),GPL-3,10.18129/B9.BIOC.AWFISHER,,,,Q63034458
awst,1.4.2000,NA,MIT,10.18129/B9.BIOC.AWST,Q59255877,en,time zone in Australia,Q49108
BaalChIP,1.22.0,"R (>= 3.3.1), GenomicRanges, IRanges, Rsamtools,",Artistic-2.0,10.18129/B9.BIOC.BAALCHIP,Q36290465,en,scientific article,Q14624826
BAC,1.56.0,R (>= 2.10),Artistic-2.0,10.18129/B9.BIOC.BAC,Q798022,en,French diploma obtained after secondary school,Q14624826
bacon,1.24.0,"R (>= 3.3), methods, stats, ggplot2, graphics, BiocParallel,
ellipse",GPL (>= 2),10.18129/B9.BIOC.BACON,Q11106,en,cured and smoked pork belly,Q27016752
BADER,1.34.0,NA,GPL-2,10.18129/B9.BIOC.BADER,Q21504775,en,family name,Q63002579
BadRegionFinder,1.24.0,NA,LGPL-3,10.18129/B9.BIOC.BADREGIONFINDER,,,,Q18534393
BAGS,2.36.0,"R (>= 2.10), breastCancerVDX, Biobase",Artistic-2.0,10.18129/B9.BIOC.BAGS,Q1134144,en,lawn game in which players take turns throwing bags of corn (or bean bags),Q14624826
ballgown,2.28.0,"R (>= 3.5.0), methods",Artistic-2.0,10.18129/B9.BIOC.BALLGOWN,Q36687746,en,scientific article published on March 2015,Q14624826
bambu,2.2.2000,"R(>= 4.1), SummarizedExperiment(>= 1.1.6), S4Vectors(>=
0.22.1), BSgenome, IRanges",GPL-3,10.18129/B9.BIOC.BAMBU,Q2244021,en,Madrid Metro station,Q63034458
bamsignals,1.28.0,R (>= 3.5.0),GPL-2,10.18129/B9.BIOC.BAMSIGNALS,,,,Q63002579
BANDITS,1.12.2000,R (>= 4.0.0),GPL (>= 3),10.18129/B9.BIOC.BANDITS,Q587847,en,2001 film by Barry Levinson,Q27016754
bandle,1.0.0,"R (>= 4.1), S4Vectors, Biobase, MSnbase, pRoloc",Artistic-2.0,10.18129/B9.BIOC.BANDLE,Q37532415,en,family name,Q14624826
banocc,1.20.0,"R (>= 3.5.1), rstan (>= 2.17.4)",MIT,10.18129/B9.BIOC.BANOCC,,,,Q49108
basecallQC,1.20.0,"R (>= 3.4), stats, utils, methods, rmarkdown, knitr,
prettydoc, yaml",GPL (>= 3),10.18129/B9.BIOC.BASECALLQC,,,,Q27016754
BaseSpaceR,1.40.0,"R (>= 2.15.0), RCurl, RJSONIO",Apache License 2.0,10.18129/B9.BIOC.BASESPACER,,,,Q13785927
Basic4Cseq,1.32.0,"R (>= 3.4), Biostrings, GenomicAlignments, caTools,
GenomicRanges, grDevices, graphics, stats, utils",LGPL-3,10.18129/B9.BIOC.BASIC4CSEQ,Q30839765,en,scientific article,Q18534393
BASiCS,2.8.2000,"R (>= 4.0), SingleCellExperiment",GPL (>= 2),10.18129/B9.BIOC.BASICS,Q4867063,en,26th episode of the second season and 1st episode of the third season of Star Trek: Voyager,Q27016752
BasicSTARRseq,1.24.0,"GenomicRanges,GenomicAlignments",LGPL-3,10.18129/B9.BIOC.BASICSTARRSEQ,,,,Q18534393
basilisk,1.8.2000,NA,GPL-3,10.18129/B9.BIOC.BASILISK,Q152519,en,legendary reptile in European mythology,Q63034458
basilisk.utils,1.8.2000,NA,GPL-3,10.18129/B9.BIOC.BASILISK.UTILS,,,,Q63034458
batchelor,1.12.2003,SingleCellExperiment,GPL-3,10.18129/B9.BIOC.BATCHELOR,Q4868723,en,family name,Q63034458
BatchQC,1.24.0,R (>= 3.5.0),GPL (>= 2),10.18129/B9.BIOC.BATCHQC,Q31122464,en,scientific article,Q27016752
BayesKnockdown,1.22.0,R (>= 3.3),GPL-3,10.18129/B9.BIOC.BAYESKNOCKDOWN,,,,Q63034458
BayesSpace,1.6.2000,"R (>= 4.0.0), SingleCellExperiment",MIT,10.18129/B9.BIOC.BAYESSPACE,,,,Q49108
bayNorm,1.14.0,"R (>= 3.5),",GPL (>= 2),10.18129/B9.BIOC.BAYNORM,Q90480774,en,scientific article published on 01 February 2020,Q27016752
baySeq,2.30.0,"R (>= 2.3.0), methods, GenomicRanges, abind, parallel",GPL-3,10.18129/B9.BIOC.BAYSEQ,Q33653650,en,scientific article,Q63034458
BBCAnalyzer,1.26.0,NA,LGPL-3,10.18129/B9.BIOC.BBCANALYZER,Q30840115,en,scientific article,Q18534393
BCRANK,1.58.0,methods,GPL-2,10.18129/B9.BIOC.BCRANK,,,,Q63002579
bcSeq,1.18.0,R (>= 3.4.0),GPL (>= 2),10.18129/B9.BIOC.BCSEQ,Q52714789,en,scientific article published on 30 April 2018,Q27016752
BDMMAcorrect,1.14.0,"R (>= 3.5), vegan, ellipse, ggplot2, ape, SummarizedExperiment",GPL (>= 2),10.18129/B9.BIOC.BDMMACORRECT,,,,Q27016752
beachmat,2.12.2000,NA,GPL-3,10.18129/B9.BIOC.BEACHMAT,Q55003533,en,scientific article published on 3 May 2018,Q63034458
beadarray,2.46.0,"R (>= 2.13.0), BiocGenerics (>= 0.3.2), Biobase (>= 2.17.8),
hexbin",MIT,10.18129/B9.BIOC.BEADARRAY,Q31116642,en,scientific article,Q49108
beadarraySNP,1.62.0,"methods, Biobase (>= 2.14), quantsmooth",GPL-2,10.18129/B9.BIOC.BEADARRAYSNP,,,,Q63002579
BeadDataPackR,1.48.0,NA,GPL-2,10.18129/B9.BIOC.BEADDATAPACKR,Q28760454,en,scientific article (publication date: 29 September 2010),Q63002579
BEARscc,1.16.0,R (>= 3.5.0),GPL-3,10.18129/B9.BIOC.BEARSCC,Q52345580,en,scientific article published on 22 March 2018,Q63034458
BEAT,1.34.0,R (>= 2.13.0),LGPL (>= 3.0),10.18129/B9.BIOC.BEAT,Q3242199,en,directed physical attack,Q27016762
BEclear,2.12.2000,BiocParallel (>= 1.14.2),GPL-3,10.18129/B9.BIOC.BECLEAR,Q36112551,en,scientific article,Q63034458
beer,1.0.0,"R (>= 4.2.0), PhIPData (>= 1.1.1), rjags",MIT,10.18129/B9.BIOC.BEER,Q44,en,alcoholic drink,Q49108
benchdamic,1.2.2000,R (>= 4.1.0),Artistic-2.0,10.18129/B9.BIOC.BENCHDAMIC,,,,Q14624826
BgeeCall,1.12.2001,R (>= 3.6),GPL-3,10.18129/B9.BIOC.BGEECALL,,,,Q63034458
BgeeDB,2.22.3,"R (>= 3.6.0), topGO, tidyr",GPL-3,10.18129/B9.BIOC.BGEEDB,Q93360725,en,scientific article published on 23 November 2016,Q63034458
BGmix,1.56.0,"R (>= 2.3.1), KernSmooth",GPL-2,10.18129/B9.BIOC.BGMIX,,,,Q63002579
bgx,1.62.0,"R (>= 2.0.1), Biobase, affy (>= 1.5.0), gcrma (>= 2.4.1)",GPL-2,10.18129/B9.BIOC.BGX,Q1658147,en,"international airport serving Bage, Rio Grande do Sul, Brazil",Q63002579
BHC,1.48.0,NA,GPL-3,10.18129/B9.BIOC.BHC,Q282003,en,organochlorine chemical and an isomer of hexachlorocyclohexane,Q63034458
BicARE,1.54.0,"R (>= 1.8.0), Biobase (>= 2.5.5), multtest, GSEABase",GPL-2,10.18129/B9.BIOC.BICARE,Q32140121,,,Q63002579
BiFET,1.16.0,R (>= 3.5.0),GPL-3,10.18129/B9.BIOC.BIFET,Q106704957,en,family name,Q63034458
bigmelon,1.22.0,"R (>= 3.3), wateRmelon (>= 1.25.0), gdsfmt (>= 1.0.4),
methods, minfi (>= 1.21.0), Biobase, methylumi",GPL-3,10.18129/B9.BIOC.BIGMELON,Q92389914,en,scientific article published on 01 March 2019,Q63034458
bigPint,1.12.2000,R (>= 3.6.0),GPL-3,10.18129/B9.BIOC.BIGPINT,Q96432070,en,scientific article published on 15 June 2020,Q63034458
BindingSiteFinder,1.2.2000,"GenomicRanges, R (>= 4.1)",Artistic-2.0,10.18129/B9.BIOC.BINDINGSITEFINDER,,,,Q14624826
bioassayR,1.34.0,"R (>= 3.5.0), DBI (>= 0.3.1), RSQLite (>= 1.0.0), methods,
Matrix, rjson, BiocGenerics (>= 0.13.8)",Artistic-2.0,10.18129/B9.BIOC.BIOASSAYR,Q37671639,en,scientific article published on July 2016,Q14624826
Biobase,2.56.0,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils",Artistic-2.0,10.18129/B9.BIOC.BIOBASE,Q4835702,en,German bioinformatics company,Q14624826
biobroom,1.28.0,"R (>= 3.0.0), broom",LGPL,10.18129/B9.BIOC.BIOBROOM,,,,Q192897
biobtreeR,1.8.2000,NA,MIT,10.18129/B9.BIOC.BIOBTREER,,,,Q49108
bioCancer,1.24.01,"R (>= 3.6.0), radiant.data (>= 0.9.1), XML(>= 3.98)",AGPL-3,10.18129/B9.BIOC.BIOCANCER,,,,Q27017232
BiocCheck,1.32.0,R (>= 4.2.0),Artistic-2.0,10.18129/B9.BIOC.BIOCCHECK,,,,Q14624826
BiocDockerManager,1.8.2000,R (>= 4.1),Artistic-2.0,10.18129/B9.BIOC.BIOCDOCKERMANAGER,,,,Q14624826
BiocFileCache,2.4.2000,"R (>= 3.4.0), dbplyr (>= 1.0.0)",Artistic-2.0,10.18129/B9.BIOC.BIOCFILECACHE,,,,Q14624826
BiocGenerics,0.42.0,"R (>= 4.0.0), methods, utils, graphics, stats",Artistic-2.0,10.18129/B9.BIOC.BIOCGENERICS,,,,Q14624826
biocGraph,1.58.0,"Rgraphviz, graph",Artistic-2.0,10.18129/B9.BIOC.BIOCGRAPH,,,,Q14624826
BiocIO,1.6.2000,R (>= 4.0),Artistic-2.0,10.18129/B9.BIOC.BIOCIO,,,,Q14624826
BiocNeighbors,1.14.0,NA,GPL-3,10.18129/B9.BIOC.BIOCNEIGHBORS,,,,Q63034458
BiocOncoTK,1.16.0,"R (>= 3.6.0), methods, utils",Artistic-2.0,10.18129/B9.BIOC.BIOCONCOTK,,,,Q14624826
BioCor,1.20.0,R (>= 3.4.0),MIT,10.18129/B9.BIOC.BIOCOR,Q417597,en,chemical compound,Q49108
BiocParallel,1.30.3,"methods, R (>= 3.5.0)",GPL-2,10.18129/B9.BIOC.BIOCPARALLEL,,,,Q63002579
BiocPkgTools,1.14.0,htmlwidgets,MIT,10.18129/B9.BIOC.BIOCPKGTOOLS,Q64898970,en,scientific article,Q49108
BiocSet,1.10.2000,"R (>= 3.6), dplyr",Artistic-2.0,10.18129/B9.BIOC.BIOCSET,,,,Q14624826
BiocSingular,1.12.2000,NA,GPL-3,10.18129/B9.BIOC.BIOCSINGULAR,,,,Q63034458
BiocSklearn,1.18.2,"R (>= 4.0), reticulate, methods, SummarizedExperiment",Artistic-2.0,10.18129/B9.BIOC.BIOCSKLEARN,,,,Q14624826
BiocStyle,2.24.0,NA,Artistic-2.0,10.18129/B9.BIOC.BIOCSTYLE,,,,Q14624826
biocthis,1.6.2000,NA,Artistic-2.0,10.18129/B9.BIOC.BIOCTHIS,,,,Q14624826
BiocVersion,3.15.2,R (>= 4.2.0),Artistic-2.0,10.18129/B9.BIOC.BIOCVERSION,,,,Q14624826
biocViews,1.64.1,R (>= 3.6.0),Artistic-2.0,10.18129/B9.BIOC.BIOCVIEWS,,,,Q14624826
BiocWorkflowTools,1.22.0,R (>= 3.4),MIT,10.18129/B9.BIOC.BIOCWORKFLOWTOOLS,,,,Q49108
biodb,1.4.2000,R (>= 4.1.0),AGPL-3,10.18129/B9.BIOC.BIODB,Q37097093,en,scientific article published on 07 January 2009,Q27017232
biodbChebi,1.2.2000,R (>= 4.1),AGPL-3,10.18129/B9.BIOC.BIODBCHEBI,,,,Q27017232
biodbExpasy,1.0.0,R (>= 4.1),AGPL-3,10.18129/B9.BIOC.BIODBEXPASY,,,,Q27017232
biodbHmdb,1.2.2000,R (>= 4.1),AGPL-3,10.18129/B9.BIOC.BIODBHMDB,,,,Q27017232
biodbKegg,1.2.2000,R (>= 4.1),AGPL-3,10.18129/B9.BIOC.BIODBKEGG,,,,Q27017232
biodbLipidmaps,1.2.2000,R (>= 4.1),AGPL-3,10.18129/B9.BIOC.BIODBLIPIDMAPS,,,,Q27017232
biodbMirbase,1.0.0,R (>= 4.1),AGPL-3,10.18129/B9.BIOC.BIODBMIRBASE,,,,Q27017232
biodbNcbi,1.0.0,R (>= 4.1),AGPL-3,10.18129/B9.BIOC.BIODBNCBI,,,,Q27017232
biodbNci,1.0.0,R (>= 4.1),AGPL-3,10.18129/B9.BIOC.BIODBNCI,,,,Q27017232
biodbUniprot,1.2.2000,R (>= 4.1.0),AGPL-3,10.18129/B9.BIOC.BIODBUNIPROT,,,,Q27017232
